Original;Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Episodios;URL_TMDB;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
(Des)encanto;(Des)encanto;2018;«(Des)encanto» narra las desventuras de Bean, una princesa aficionada a la bebida en el mundo medieval en ruinas de Dreamland. Ahí viaja acompañada por Elfo, su enérgico acompañante, y Luci, su demonio personal. En el camino, este trío disfuncional se encontrará con ogros, arpías, trolls, duendecillos, diabillos, morsas y muchos humanos tontos.;https://image.tmdb.org/t/p/original/7aHRcC94liRO8rVHtk9aVabXbgF.jpg;Animación, Comedia, Fantasía, Historia;9.7;5;50;https://www.themoviedb.org/tv/73021;https://image.tmdb.org/t/p/original/hHEqDPbO6z4Xje5tOf3Wm1mdMtI.jpg;T1:20|T2:20|T3:10;Abbi Jacobson (Princess Bean (voice)), Lucy Montgomery (Bunty (voice)), Nat Faxon (Elfo (voice)), Tress MacNeille (Queen Oona / Prince Derek (voice)), David Herman (The Herald (voice)), Maurice LaMarche (Odval (voice));https://image.tmdb.org/t/p/w185/tYTlv2MmiOjPfkOE9ywGAaqllbv.jpg, https://image.tmdb.org/t/p/w185/xF6lY41BTfOgatqvroTsHLy2wes.jpg, https://image.tmdb.org/t/p/w185/i7bsT8ewAjCr7zByWOyCnbrT0x9.jpg, https://image.tmdb.org/t/p/w185/gI2LsgByvSffQY34vabVnPmrHzw.jpg, https://image.tmdb.org/t/p/w185/wexIWmxk2uigMRLJ1WXYHroODuU.jpg, https://image.tmdb.org/t/p/w185/qCiL3EYAhLcNo0rNj5pczWo9MwG.jpg;Creador: Matt Groening;Hora de aventuras: Fionna y Cake, Close Enough, Supernatural Academy, Una chica explosiva, Alicia;https://www.youtube.com/watch?v=pz4qyXjTbr0
¡Scooby Doo! en el Misterio del Faraón [2005][720p][1.12 Gb];¡Scooby Doo! en el Misterio del Faraón;2005;La arqueóloga y superdetective Velma está en Egipto para asistir a una ceremonia donde se dará a conocer a una misteriosa Esfinge restaurada, una mítica criatura con cabeza de hombre y cuerpo de león y descubrir también una tumba oculta que pertenece a la mismísima Cleopatra. Pero Velma, Scooby-Doo y la Compañía del Misterio tendrán que tener mucho cuidado con la maldición del Faraón: ¡El Nilo se dividirá, el desierto se alzará y todo aquel que se atreva a entrar en la tumba se convertirá en piedra! Pero nuestros amigos no se detienen ante nada y se enfrentarán a algo todavía más terrorífico: ¡un ejército de momias vivientes!;https://image.tmdb.org/t/p/w500/kxv1K6ZAxicTsceAhMLUIuTj7Uy.jpg;Misterio, Animación, Familia, Aventura, Comedia, Fantasía;7.4;0;0;https://www.themoviedb.org/movie/20558;https://image.tmdb.org/t/p/original/85z4NC6FzMQJBGlFqq8qQ2QByD4.jpg;;Casey Kasem (Shaggy Rogers (voice)), Frank Welker (Fred Jones / Scooby-Doo (voice)), Mindy Cohn (Velma Dinkley (voice)), Grey DeLisle (Daphne Blake / Natasha (voice)), Christine Baranski (Amelia von Butch (voice)), Ajay Naidu (Prince Omar (voice));https://image.tmdb.org/t/p/w185/sBKx2Da5Igy55Sjk2dnhtI3JekC.jpg, https://image.tmdb.org/t/p/w185/aC37aQtsfZZDZN5y3paDTLJJHCi.jpg, https://image.tmdb.org/t/p/w185/AcEAchSYIUiRInwyD8nPwj8ztZa.jpg, https://image.tmdb.org/t/p/w185/vrUHaXe1pG56yZkgH7Hs3LGRLTT.jpg, https://image.tmdb.org/t/p/w185/q6Zi3BYlmoim1JXXMGgRVS5C87x.jpg, https://image.tmdb.org/t/p/w185/tOvD8yveJ4Aq10LICADK3wS3dwE.jpg;Director: Joe Sichta;Scooby-Doo! Abracadabra-Doo, Scooby-Doo y el fantasma de la bruja, Scooby-Doo! Miedo al escenario, ¡Truco o trato Scooby-Doo!, Scooby Doo: Misterio en la nieve;https://www.youtube.com/watch?v=iJMjDl-n51c
¡Scooby-Doo! ¡Piratas a babor [2006][720p][1.09 Gb];¡Scooby-Doo! ¡Piratas a babor!;2006;"""El miedo reina en Altamar cuando Scooby-Doo y su pandilla toman un aterrador crucero hacia uno de los lugares más misteriosos del planeta, el legendario ¡Triángulo de las Bermudas! La banda debe enfrentarse al peligro constantemente"" desde apariciones alienígenas hasta espantosos Piratas Fantasma, a los que les encanta hundir cruceros a cañonazos. Pero las cosas empeoran todavía mas cuando los Piratas Fantasma secuestran a los padres de Fred, convirtiendo a su madre en un pirata. Si Scooby-Doo, Shaggy y la pandilla del Misterio no logran resolver este misterio marítimo, serán lanzados al mar, ¡y se convertirán en las próximas víctimas del Triángulo!.""";https://image.tmdb.org/t/p/w500/vqy0hBB6fazUZ5joQf8LlIPT8YA.jpg;Fantasía, Animación, Comedia, Familia, Misterio, Aventura;7.5;0;0;https://www.themoviedb.org/movie/13355;https://image.tmdb.org/t/p/original/t14yKET7koe0TtJw4Pk923Ntqyq.jpg;;Frank Welker (Scooby-Doo / Fred Jones (voice)), Casey Kasem (Shaggy Rogers (voice)), Mindy Cohn (Velma Dinkley (voice)), Grey DeLisle (Daphne Blake (voice)), Ron Perlman (Captain Skunkbeard / Biff Wellington (voice)), Freddy Rodríguez (Rupert Garcia (voice));https://image.tmdb.org/t/p/w185/aC37aQtsfZZDZN5y3paDTLJJHCi.jpg, https://image.tmdb.org/t/p/w185/sBKx2Da5Igy55Sjk2dnhtI3JekC.jpg, https://image.tmdb.org/t/p/w185/AcEAchSYIUiRInwyD8nPwj8ztZa.jpg, https://image.tmdb.org/t/p/w185/vrUHaXe1pG56yZkgH7Hs3LGRLTT.jpg, https://image.tmdb.org/t/p/w185/pOgMRdJhbBsvwGLRFXPRASTfcay.jpg, https://image.tmdb.org/t/p/w185/syCMZjteDnmWQa26NqOaVaRdYmj.jpg;Director: Chuck Sheetz;Bob Esponja: Una aventura pirata, Lego Scooby-Doo! Fiesta en la playa de Blowout, Tom y Jerry. El tesoro del galeón pirata, Los teleñecos en la Isla del Tesoro, ¡Scooby Doo! en el Misterio del Faraón;https://www.youtube.com/watch?v=sRWGfYpTB4A
¡Scooby-Doo! Y la maldición del fantasma número trece [2019][1080p][3 1 Gb];¡Scooby-Doo! Y la maldición del fantasma número 13;2019;Después de que los miembros de Misterios S.A. echasen a perder un caso al atrapar a un hombre inocente, se ven obligados a retirarse de las investigaciones criminales. Pero, al poco tiempo, su viejo amigo Vincent Van Ghoul necesita ayuda, así que consigue que el equipo vuelva a la acción. Todo comenzó un verano cuando Scooby-Doo, Shaggy y Daphne cazaron en secreto a 12 de los fantasmas más espeluznantes del mundo, aunque no pudieron pillar al más malvado de todos... al fantasma número 13. Con el 13º fantasma suelto, la pandilla tendrá que ver más allá de los secretos ocultos y resolver algunos asuntos pendientes.;https://image.tmdb.org/t/p/w500/zo40Q5LMzP0lGt7pwRre3DLEhQW.jpg;Comedia, Familia, Animación, Aventura, Misterio;7.9;0;0;https://www.themoviedb.org/movie/560066;https://image.tmdb.org/t/p/original/4MuN8RkgXcfunFDql849t2ru0t4.jpg;;Frank Welker (Scooby-Doo / Fred Jones (voice)), Grey DeLisle (Daphne Blake (voice)), Matthew Lillard (Shaggy Rogers (voice)), Kate Micucci (Velma Dinkley (voice)), Noshir Dalal (Benny / Flim Flam (voice)), David Herman (Sheriff (voice));https://image.tmdb.org/t/p/w185/aC37aQtsfZZDZN5y3paDTLJJHCi.jpg, https://image.tmdb.org/t/p/w185/vrUHaXe1pG56yZkgH7Hs3LGRLTT.jpg, https://image.tmdb.org/t/p/w185/mIEKAfe0iC41RDXibbTy48LtNOi.jpg, https://image.tmdb.org/t/p/w185/lgmIxZ59bnYflbkWyAfmWi0bUsT.jpg, https://image.tmdb.org/t/p/w185/kPZhR7ZxU5hnOimPZcJQMJ3qjoy.jpg, https://image.tmdb.org/t/p/w185/wexIWmxk2uigMRLJ1WXYHroODuU.jpg;Director: Cecilia Aranovich;¡Truco o trato Scooby-Doo!, ¡Scooby Doo! Y el fantasma gourmet, ¡Scooby!, Scooby-Doo! Miedo al escenario, Scooby-Doo! El conflicto de Shaggy;https://www.youtube.com/watch?v=w5Ap2cuYi20
101 Dalmatas [1961][1080p][3.8 Gb];101 dálmatas;1961;Pongo y Perdita, los dalmatas protagonistas, son una feliz pareja canina que vive rodeada de sus cachorros junto a sus amos, Roger y Anita. Pero la felicidad no es eterna y hay una malvada mujer, que vive en una gran mansion, que es la mayor enemiga del perro.Cuando se entera de que los protagonistas tienen nada menos que quince cachorros dalmatas, su sueño de obtener un exclusivo abrigo de piel de los pequeños perros, se convierte en una obsesion. Para conseguirlo contrata a dos ladrones y pone en marcha un malvado plan con el unico fin de secuestrar a los dalmatas.;https://image.tmdb.org/t/p/w500/2Bt5iwJ0bMPWgIMBVTJPtI7onbe.jpg;Aventura, Animación, Comedia, Familia;7.175;0;0;https://www.themoviedb.org/movie/12230;https://image.tmdb.org/t/p/original/npb2nrqJZDsintMTh6XOxNXfyG2.jpg;;Rod Taylor (Pongo (voice)), J. Pat O'Malley (Colonel / Jasper (voice)), Betty Lou Gerson (Cruella De Vil / Miss Birdwell (voice)), Martha Wentworth (Nanny / Queenie / Lucy (voice)), Ben Wright (Roger (voice)), Cate Bauer (Perdita (voice));https://image.tmdb.org/t/p/w185/nSpfs8lXHxWcksZW3qC9ArMLAqZ.jpg, https://image.tmdb.org/t/p/w185/AaaALfecdxxSsW65eIQoznII0li.jpg, https://image.tmdb.org/t/p/w185/eRL8OFppYDCoQjmtEVkeVPFJ7UT.jpg, https://image.tmdb.org/t/p/w185/81Et3nBlWFANlWsP4D8BAFXwI0b.jpg, https://image.tmdb.org/t/p/w185/7io2bWkZ0vYLNyWqPoADf9O2LD3.jpg, https://image.tmdb.org/t/p/w185/dZJhK8Jd6EARHlTqVW434mgiTdu.jpg;Director: Wolfgang Reitherman, Clyde Geronimi;101 dálmatas II, 101 dálmatas (¡Más vivos que nunca!), Policán, Mascotas 2, Scooby-Doo! Miedo al escenario;https://www.youtube.com/watch?v=gXgnT50Cr-c
101 Dalmatas 2 [2003][1080p][3.3 Gb];101 dálmatas 2;2003;"""Perdido en un mar de manchas, el pequeño Patch quiere destacar sobre los demás cachorros y sueña con convertirse en un perro """"único en su especie"""" como su estrella favorita de televisión, Relámpago. Cuando Patch se separa accidentalmente de su familia, tiene la oportunidad de conocer a su héroe y milagrosamente, convertirse en su socio en la vida real. Mientras, Cruella se ha convertido en mecenas de un excéntrico artista cuya pintura se compone de juegos de manchas. Para inspirarle, Cruella secuestra a todos los cachorros de Dálmatas. Juntos Patch y Relámpago planean rescate y Patch descubre que realmente es un perro único.""";https://image.tmdb.org/t/p/w500/tBZbbkloDEeA8Fy8KjNBNVAhByv.jpg;Familia, Animación, Aventura, Comedia;6.028;0;0;https://www.themoviedb.org/movie/13654;https://image.tmdb.org/t/p/original/vhuNTct6wQKcaV0U8aUXLVvjetU.jpg;;Barry Bostwick (Thunderbolt (voice)), Jason Alexander (Lightning (voice)), Martin Short (Lars (voice)), Bobby Lockwood (Patch (voice)), Susanne Blakeslee (Cruella (voice)), Samuel West (Pongo (voice));https://image.tmdb.org/t/p/w185/z2jlL5g5PMxelSHMXFF03fTSsLl.jpg, https://image.tmdb.org/t/p/w185/qRezZ2yhM2bmBERt7jVcxo8RVSA.jpg, https://image.tmdb.org/t/p/w185/vWoZIOk7K8TSKu1IN90akswsWjZ.jpg, https://image.tmdb.org/t/p/w185/umELfjA9r3N6YXwREFvUcXHQJt2.jpg, https://image.tmdb.org/t/p/w185/5s4vquKADCS90iOiEwgCTZkaQjX.jpg, https://image.tmdb.org/t/p/w185/bn1nd5zERi5wyHcA1YMGvrHAD5L.jpg;Director: Jim Kammerud, Brian Smith;Tod y Toby 2, Mascotas 2, 101 dálmatas, Los Rugrats: Vacaciones salvajes, Tom y Jerry;https://www.youtube.com/watch?v=sxVaBzW8gGM
Abominable [2019] [latino] [1,48 Gb];Abominable;2019;"Yi es una adolescente más en la enorme ciudad de Shanghai. Un día, se encuentra a un joven yeti en la azotea de su edificio. La supuestamente ""abominable"" criatura, que se ha escapado del laboratorio donde estaba encerrado, está siendo buscada por toda la ciudad. Junto con sus ingeniosos amigos Jin y Peng, Yi decide ayudarle a huir, le bautizan como ""Everest"" y los cuatro se embarcan en una épica aventura para reunir a la mítica criatura con su familia en el pico más alto del mundo.";https://image.tmdb.org/t/p/w500/436T2Ct0SyQlb262ogsHLumepwi.jpg;Familia, Animación, Aventura, Comedia, Fantasía;7.455;0;0;https://www.themoviedb.org/movie/431580;https://image.tmdb.org/t/p/original/jXk3ZMq7n4ugOqKYq0CtMn3gia8.jpg;;Chloe Bennet (Yi (voice)), Albert Tsai (Peng (voice)), Suzy Eddie Izzard (Burnish (voice)), Tenzing Norgay Trainor (Jin (voice)), Joseph Izzo (Everest (voice)), Sarah Paulson (Dr. Zara (voice));https://image.tmdb.org/t/p/w185/4qvbabAnuLBEY1K262pn8sMHtVw.jpg, https://image.tmdb.org/t/p/w185/cZJDdkmKgjWFEFgXkmBrPOaIw1t.jpg, https://image.tmdb.org/t/p/w185/yo55CX1eirka40DSkniv7xgy2LZ.jpg, https://image.tmdb.org/t/p/w185/1mIj4EeFZHil1QClQY6W3fvfvIf.jpg, https://image.tmdb.org/t/p/w185/lz9jjo1U0FpqafA7nUIH0kzJ6io.jpg, https://image.tmdb.org/t/p/w185/tJnhBV516yrekR3hTDUw15UMbxS.jpg;Director: Jill Culton;Smallfoot, Los Cretinos, Frozen 2, Los Boxtrolls, Los Croods: Una nueva era;https://www.youtube.com/watch?v=PRrO7RJWYXU
Aladdin [1992][1080p][4.19 Gb];Aladdin;1992;Aladdín es un ingenioso joven que vive en una extrema pobreza, y que sueña con casarse con la bella hija del sultán, la princesa Jasmine. El destino interviene cuando el astuto visir del Sultán, Jafar, recluta a Aladdín para que le ayude a recuperar una lámpara mágica de las profundidades de la Cueva de las Maravillas. Aladdín encuentra una lámpara maravillosa con un genio dentro, y sus deseos comienzan a hacerse realidad.;https://image.tmdb.org/t/p/w500/5ALwczKzFxbsiMDlHuy7aREDCzr.jpg;Animación, Familia, Aventura, Fantasía, Romance;7.654;0;0;https://www.themoviedb.org/movie/812;https://image.tmdb.org/t/p/original/nenJjvfe2Eq8uBMXFJnWj5mw4bi.jpg;;Scott Weinger (Aladdin (voice)), Robin Williams (Genie / Peddler (voice)), Linda Larkin (Jasmine (voice)), Jonathan Freeman (Jafar (voice)), Gilbert Gottfried (Iago (voice)), Douglas Seale (Sultan (voice));https://image.tmdb.org/t/p/w185/5EvrWMz2xi3hOkrEMNGH2Rts2jz.jpg, https://image.tmdb.org/t/p/w185/iYdeP6K0qz44Wg2Nw9LPJGMBkQ5.jpg, https://image.tmdb.org/t/p/w185/uN35v1Z374JvfdnDJBVmvnB2JNQ.jpg, https://image.tmdb.org/t/p/w185/ceyXr2JHuB32l74sFuzgMGGVLGQ.jpg, https://image.tmdb.org/t/p/w185/hkkAgJD0HKcuyd8EuvhyN5vHcDQ.jpg, https://image.tmdb.org/t/p/w185/4RFHIJ3xbmOpgsr7JLZeRfY9yhb.jpg;Director: Ron Clements, John Musker;El retorno de Jafar, Aladdín, La Cenicienta III: Qué pasaría si…, La sirenita, Simbad: La leyenda de los siete mares;https://www.youtube.com/watch?v=f2NQvVjf0ZY
Aladdín 2 - El Regreso de Jafar [1994][1080p][2.9 Gb];El retorno de Jafar;1994;Aladdín y Jasmine viven felices en el palacio real, rodeados de lujos y de la magia del genio. Pero, muy lejos de allí, algo se remueve en las arenas del desierto: Iago, el loro dentudo de Jafar, ha logrado escapar de la lámpara que los mantenía presos a ambos. Tras traicionar a su amo, Iago decide vivir una nueva vida en donde él es el jefe. Pero Jafar esconde más de un as en la manga.;https://image.tmdb.org/t/p/w500/dpnjhDsWimMUOMsuz2AVsqeU9vL.jpg;Familia, Aventura, Animación, Romance;6.242;0;0;https://www.themoviedb.org/movie/15969;https://image.tmdb.org/t/p/original/mOOJm3tamy9iHg2mOEA77CM6ufZ.jpg;;Scott Weinger (Aladdin (voice)), Linda Larkin (Princess Jasmine (voice)), Jonathan Freeman (Jafar (voice)), Gilbert Gottfried (Iago (voice)), Dan Castellaneta (Genie (voice)), Frank Welker (Abu the Monkey (voice));https://image.tmdb.org/t/p/w185/5EvrWMz2xi3hOkrEMNGH2Rts2jz.jpg, https://image.tmdb.org/t/p/w185/uN35v1Z374JvfdnDJBVmvnB2JNQ.jpg, https://image.tmdb.org/t/p/w185/ceyXr2JHuB32l74sFuzgMGGVLGQ.jpg, https://image.tmdb.org/t/p/w185/hkkAgJD0HKcuyd8EuvhyN5vHcDQ.jpg, https://image.tmdb.org/t/p/w185/AmeqWhP4A46AWkM4kVphg6jOTQX.jpg, https://image.tmdb.org/t/p/w185/aC37aQtsfZZDZN5y3paDTLJJHCi.jpg;Director: Tad Stones, Toby Shelton;Aladdin, Aladdín, Aladdín y el rey de los ladrones, La Cenicienta III: Qué pasaría si…, El ladrón de Bagdad;https://www.youtube.com/watch?v=5kdcMfmetuw
Aladdín 3 - El Rey de los Ladrones [1996][1080p][3.4 Gb];Aladdín y el rey de los ladrones;1996;Por fin Aladdín se va a casar con la princesa Jasmine. A pesar de la presencia y ánimo de sus amigos Genio, Alfombra y el mono Abú, está algo preocupado: tiene miedo porque no sabe qué tipo de padre va a ser, si él nunca tuvo ninguno. Pero todas sus preocupaciones quedarán de lado cuando 40 ladrones irrumpen en la boda para robar un mágico talismán.;https://image.tmdb.org/t/p/w500/8hNo4sagsaO6ZnZO52QKX7Ggco6.jpg;Aventura, Animación, Familia;6.259;0;0;https://www.themoviedb.org/movie/11238;https://image.tmdb.org/t/p/original/gkzfPl0rjp5COdFXPaxitp9J3X3.jpg;;Scott Weinger (Aladdin (voice)), Brad Kane (Aladdin (singing voice)), Robin Williams (Genie (voice)), Linda Larkin (Jasmine (voice)), Liz Callaway (Jasmine (singing voice)), John Rhys-Davies (Cassim (voice));https://image.tmdb.org/t/p/w185/5EvrWMz2xi3hOkrEMNGH2Rts2jz.jpg, https://image.tmdb.org/t/p/w185/5kH9BzRX1osFjvWsh9vmjwTyE7h.jpg, https://image.tmdb.org/t/p/w185/iYdeP6K0qz44Wg2Nw9LPJGMBkQ5.jpg, https://image.tmdb.org/t/p/w185/uN35v1Z374JvfdnDJBVmvnB2JNQ.jpg, https://image.tmdb.org/t/p/w185/zCPIvHAFAMSEHQxfbl6taChMsVu.jpg, https://image.tmdb.org/t/p/w185/qpXl1YnqQsUKYEDm3BB2zK5wbhe.jpg;Director: Tad Stones;El retorno de Jafar, Aladdín, Aladdin, Peter Pan en Regreso al País de Nunca Jamás, Bob Esponja: Una aventura pirata;https://www.youtube.com/watch?v=aWBbVsbSZeM
