Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
30-sai made Doutei dato Mahoutsukai ni Nareru Rashii episodio 1 [mandranime];Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!;TMDB;Cuando Adachi cumplió los 30 años siendo virgen, recibió un peculiar don: la capacidad de leer la mente de cualquiera a quien toque. Pensando en qué hacer con este misterioso nuevo poder, decide probar suerte leyendo la mente de su colega de trabajo Kurosawa. Lo que descubre es que el popular tipo de ventas, ¡está enamorado de él! ¿Cómo actuará Adachi ante los afectuosos pensamientos de su compañero?;https://image.tmdb.org/t/p/original/1rv6Lw43ARlUaHXyCQASkcM43Uk.jpg;Animación, Comedia;7.629;12.0;https://www.themoviedb.org/tv/237045;https://image.tmdb.org/t/p/original/9PIoKwn5T1h4iQf1KUwXH6kVVil.jpg;T1:12;Chiaki Kobayashi (Kiyoshi Adachi (voice)), Ryota Suzuki (Yuichi Kurosawa (voice)), Makoto Furukawa (Masato Tsuge (voice)), Gen Sato (Minato Wataya (voice));https://image.tmdb.org/t/p/w185/o0XZFXc50z28ICUpvfZ1QcTL2Yt.jpg, https://image.tmdb.org/t/p/w185/4Xq18mQttuW2yfRCflnWoU7UqQ5.jpg, https://image.tmdb.org/t/p/w185/inLmBZhrqXeE9wlViyK28ocKJSw.jpg, https://image.tmdb.org/t/p/w185/gdKxR84xGgU19eqWlPKEGZsiID6.jpg;;Kuro-Gyaru ni Natta Kara Shinyuu to Yatte Mita, Love Stage!!, Kyojinzoku no Hanayome, Yarichin Bitch Club, Uzaki-chan Wants to Hang Out!;https://www.youtube.com/watch?v=BncsUEapcqA
5 Centímetros por Segundo [2007][1080p][3.08 Gb];Byousoku 5 Centimeter;Jikan (MyAnimeList);Dos amigos de la infancia, Takaki y Akari, son separados por el destino pero intentan mantener el contacto a pesar del tiempo y la distancia que crece entre ellos.;https://cdn.myanimelist.net/images/anime/1410/112994l.jpg;Drama, Romance;7.55;3.0;https://myanimelist.net/anime/1689/Byousoku_5_Centimeter;;;;;;;
7 Seed;7 Seeds;TMDB;"En el futuro inmediato, un meteorito gigante ha colisionado con la tierra. Todos los organismos vivos, incluida la humanidad, han sido borrados de la faz del planeta. El gobierno, que había previsto este resultado, tomó medidas para contrarrestar el peor escenario posible. En particular, fue el Proyecto ""7SEEDS"", en el que se seleccionaron cuidadosamente cinco grupos de siete hombres y mujeres jóvenes y se colocaron en equipos (Primavera, Verano A, Verano B, Otoño e Invierno). Cada participante fue sometido a un sueño criogénico con la esperanza de preservar la existencia continua de la humanidad.  Cuando esos hombres y mujeres se despertaron, se encontraron repentinamente empujados hacia un mundo cruel. Mientras estaban despojados y afligidos por haber perdido a sus seres queridos para siempre, buscaron formas de sobrevivir.";https://image.tmdb.org/t/p/original/d84XDdYib5nEKvHm2HAh2itIgBY.jpg;Animación, Drama, Sci-Fi & Fantasy;7.667;24.0;https://www.themoviedb.org/tv/85940;https://image.tmdb.org/t/p/original/8cc6ywx1b9F22GIx5yimd4zl4pT.jpg;T1:24;Nao Toyama (Natsu Iwashimizu (voice)), Jun Fukuyama (Arashi Aota (voice)), Katsuyuki Konishi (Semimaru Asai (voice)), Kana Asumi (Matsuri Tendou (voice)), Kazuhiko Inoue (Kaname Mozunoto (voice)), Akira Ishida (Chimaki Yamori (voice));https://image.tmdb.org/t/p/w185/6WJDd1z946yFfZBgpC7dWi0FyQw.jpg, https://image.tmdb.org/t/p/w185/eT9eloyIaIkTvTqMmpcsAleP2hM.jpg, https://image.tmdb.org/t/p/w185/nYM5cH6U7cp4x9dIzW0enmEKmeV.jpg, https://image.tmdb.org/t/p/w185/5GroiCPTO6PcYaZQXTGWltoT1kq.jpg, https://image.tmdb.org/t/p/w185/3BpYtYRiLAmTNbCm2LXlXnkMRit.jpg, https://image.tmdb.org/t/p/w185/jnW2Gn2NlR2uwOCeyOuzypnTmkH.jpg;;Gachiakuta, Aoi Bungaku Series, Espíritus del Inframundo, Bokurano, Shikabane Hime;https://www.youtube.com/watch?v=XRZvxqPO9sE
Akame ga Kill!;Akame ga Kill!;Jikan (MyAnimeList);Tatsumi se une a Night Raid, un grupo de asesinos encubiertos de la Armada Revolucionaria que busca derrocar al corrupto e implacable Primer Ministro.;https://cdn.myanimelist.net/images/anime/1429/95946l.jpg;Action, Fantasy;7.48;24.0;https://myanimelist.net/anime/22199/Akame_ga_Kill;https://image.tmdb.org/t/p/original/3XAGgklKkJhv5M9m5NkfhBYb7l8.jpg;T1:24;Soma Saito (Tatsumi (voice)), Sora Amamiya (Akame (voice)), Yukari Tamura (Mine (voice)), Yuu Asakawa (Leone (voice)), Anri Katsu (Daidara (voice)), 大橋彩香 (Kurome (voice));https://image.tmdb.org/t/p/w185/8W8Y02Jmjivw0kk5PDih9dqiyd9.jpg, https://image.tmdb.org/t/p/w185/4ZZcdFH4QgbIC8AeJ3BLG1ue7G5.jpg, https://image.tmdb.org/t/p/w185/AigHQPetpcKee62ekHsYFSpQeWE.jpg, https://image.tmdb.org/t/p/w185/2n7pYsUrUq4qg4VtQemndzIpOlb.jpg, https://image.tmdb.org/t/p/w185/fXfYqB9QT5sBw0ooAvUSy4uccfD.jpg, https://image.tmdb.org/t/p/w185/2nvtejsD4sc6QNlPhGedKvr3VS1.jpg;;Ataque a los Titanes, Gangsta., Gungrave, Tougen Anki, Espíritus del Inframundo;https://www.youtube.com/watch?v=sCGWxQuSoDU
Akira [1988][1080p][3.8 Gb];Akira;Jikan (MyAnimeList);En la metrópolis futurista de Neo-Tokyo, Kaneda intenta salvar a su amigo Tetsuo, quien ha desarrollado poderes psíquicos destructivos tras un experimento gubernamental secreto.;https://cdn.myanimelist.net/images/anime/1408/114012l.jpg;Action, Horror, Sci-Fi;8.16;1.0;https://myanimelist.net/anime/47/Akira;;T1:28;Kamal Adli, Uqasha Senrose, Irfan Zaini, Julia Farhana Marin, Maria Farida;https://image.tmdb.org/t/p/w185/yWcXwMX0UrlbY1HbEVAXyUbaWEm.jpg, https://image.tmdb.org/t/p/w185/huHZap1pcrCu1qskjMrC41V9zpi.jpg, https://image.tmdb.org/t/p/w185/qPVikU23k8LGFoDPWuNKo5QDPqU.jpg, https://image.tmdb.org/t/p/w185/nN4aJY9iMBPnmEAfoR9Qu8LYchN.jpg, https://image.tmdb.org/t/p/w185/7i95NXK57qmdU13DFfjsjPv2kWW.jpg;Director: Jamal Khan;Bel-Air, Descubriendo a Nina, Los no elegidos, Sullivan's Crossing, Red Shoe Diaries;
Ame wo Tsugeru Hyouryuu Danchi (Hogar a la Deriva) [2022][1080p][6 Gb];Ame wo Tsugeru Hyouryuu Danchi;Jikan (MyAnimeList);Un grupo de niños de primaria queda a la deriva en un misterioso océano infinito a bordo de todo su complejo de apartamentos condenado a la demolición.;https://cdn.myanimelist.net/images/anime/1263/124155l.jpg;Fantasy;7.32;1.0;https://myanimelist.net/anime/49938/Ame_wo_Tsugeru_Hyouryuu_Danchi;;;;;;;
Angolmois - Genkou Kassenki;Angolmois: Genkou Kassenki;TMDB;Otoño de 1274 (año 11 de la era Bun'ei), seguimos las vicisitudes de los valientes samuráis que tuvieron que defenderse de la primera invasión mongola de Japón. Los protagonistas históricos de la historia son: Kuchii Jinzaburo, un samurai errante exiliado a Tsushima por el shogunato Kamakura debido a un cierto accidente, y Teruhi, la hija del jefe So Sukekuni, tan hermosa como letal con su arco.;https://image.tmdb.org/t/p/original/aiKhbZsaqRc5qhS8LfVkpj8kiEh.jpg;Animación, Action & Adventure, War & Politics;6.5;12.0;https://www.themoviedb.org/tv/80767;https://image.tmdb.org/t/p/original/2D5QUnIFqGvL7XRrnvPnkj7E3Sl.jpg;T1:12;米山明日美 (Tatsu (voice)), Yuki Ono (Kuchii Jinzaburou (voice)), Lynn (Teruhi (voice)), Rikiya Koyama (Onitakemaru (voice)), Shirou Saitou (Chōminpuku (voice)), Shun Horie (Amushi (voice));https://image.tmdb.org/t/p/w185/nyZtgs0jIOZXvXLCHnxU7a5xQ6W.jpg, https://image.tmdb.org/t/p/w185/oEx13CbNLsHzURdYafkFJYXDjfm.jpg, https://image.tmdb.org/t/p/w185/eJ2NqgzpnzNbT6Nt9EpDfzqNeZM.jpg, https://image.tmdb.org/t/p/w185/hsZm87BORLpzhaycBaWOD5xpjVC.jpg, https://image.tmdb.org/t/p/w185/yJSrzULl9EuXI25E8REdIPY1Lkm.jpg, https://image.tmdb.org/t/p/w185/1OFi5ofRX0B2ldTPF8ThzLI2wKa.jpg;;Gokukoku no Brynhildr, UQ Holder!: Mahou Sensei Negima! 2, Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari, Witch Hunter Robin, Ninja Kamui;https://www.youtube.com/watch?v=EutjMkJ3fmg
Another;Another;Jikan (MyAnimeList);Kouichi Sakakibara se une a una misteriosa clase maldita y busca descubrir el secreto detrás de Mei Misaki, una solitaria chica con un parche en el ojo que todos ignoran.;https://cdn.myanimelist.net/images/anime/4/75509l.jpg;Horror, Mystery;7.46;12.0;https://myanimelist.net/anime/11111/Another;https://image.tmdb.org/t/p/original/lL0rMeVqiOyVwmft6oPKQKbDYr6.jpg;T1:12;Atsushi Abe (Koichi Sakakibara (voice)), Natsumi Takamori (Mei Misaki (voice)), 米澤円 (Izumi Akazawa (voice)), Tomoaki Maeno (Naoya Teshigawara (voice)), Kazutomi Yamamoto (Yuya Mochizuki (voice));https://image.tmdb.org/t/p/w185/yqJ4CYgSietAHfxyAraVCdUfPia.jpg, https://image.tmdb.org/t/p/w185/lmoEgs5x8NchMlsXqmU4ZYsC8ey.jpg, https://image.tmdb.org/t/p/w185/qAQfi2h2Lz2UTmGk3IMIxSHJcIo.jpg, https://image.tmdb.org/t/p/w185/w3lEuXSbEyzzNyO3YnxsF6wm2N5.jpg, https://image.tmdb.org/t/p/w185/4rRICK0YXcneKmPzV7nv3BKGliB.jpg;;Boogiepop wa Warawanai, Platinum End, Wonder Egg Priority, Danganronpa 3 The End of Kibougamine Gakuen - Zetsubou-hen, Ito Junji: Collection;https://www.youtube.com/watch?v=_U_57mzfjB4
Ao Haru Ride;Ao Haru Ride;Jikan (MyAnimeList);Futaba se reencuentra en la preparatoria con su primer amor de la secundaria, Kou Tanaka, quien ha regresado con una actitud completamente fría, cambiada y distante.;https://cdn.myanimelist.net/images/anime/8/64813l.jpg;Romance;7.63;12.0;https://myanimelist.net/anime/21995/Ao_Haru_Ride;https://image.tmdb.org/t/p/original/r2oitpwUihLdHQncsL7kmvIZnBS.jpg;T1:12;Maaya Uchida (Futaba Yoshioka (voice)), Yuki Kaji (Kou Mabuchi (voice)), Ai Kayano (Yuuri Makita (voice)), KENN (Aya Kominato (voice)), Mikako Komatsu (Shuuko Murao (voice)), Daisuke Hirakawa (Youichi Tanaka (voice));https://image.tmdb.org/t/p/w185/lrcxZXkIgHU55dMs8C4DKkUohqJ.jpg, https://image.tmdb.org/t/p/w185/8wKdPV11IwowfwoqGqMMNt9hmp6.jpg, https://image.tmdb.org/t/p/w185/l8ywp387rfdAS7mOExe3cEZnsk0.jpg, https://image.tmdb.org/t/p/w185/y7Gtn1PchXJ1MxmUxU9jtt138EO.jpg, https://image.tmdb.org/t/p/w185/13tQEZ1tLdOmi7oGoRJ4xep1ODQ.jpg, https://image.tmdb.org/t/p/w185/8uDi5NxFdxFvfVyo4n5CeOSLWEf.jpg;;Yahari Ore no Seishun Love Comedy wa Machigatteiru., Kokoro Connect, Peligros en mi corazón, Horimiya: The Missing Pieces, Can a Boy-Girl Friendship Survive?;https://www.youtube.com/watch?v=lgGUEEaIMaQ
Ao no Exorcist;Ao no Exorcist;Jikan (MyAnimeList);Rin Okumura descubre que es el hijo de Satanás y decide entrenarse en la Academia de la Verdadera Cruz para convertirse en un exorcista capaz de derrotar a su padre.;https://cdn.myanimelist.net/images/anime/10/75195l.jpg;Action, Supernatural;7.47;25.0;https://myanimelist.net/anime/9919/Ao_no_Exorcist;https://image.tmdb.org/t/p/original/wJzHFl5mq6JFbD6equTleJuzlnk.jpg;T1:25|T2:12|T3:12|T4:12|T5:12;Hiroshi Kamiya (Mephisto Pheles (voice));https://image.tmdb.org/t/p/w185/5aAAOlQ2hW5EqEQOzk4UeroxcTN.jpg;;Noragami, Blood+, The Rising of the Shield Hero, Tougen Anki, Sousei no Onmyouji;https://www.youtube.com/watch?v=ayLq7BKjQZU
