Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_Externa;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
25 21;25 21;TMDB;2022;Los sueños de dos jóvenes se ven aplastados por una abrumadora crisis financiera en la década de 1990. Pero cuando se reencuentran a la edad de 25 y 21 años, la enérgica pareja encuentra amistad y afecto en tiempos de adversidad mientras se aventuran juntos en la edad adulta.;https://image.tmdb.org/t/p/original/706Ar36Q1XT3056JQHoYpJbh6W0.jpg;Drama;8.431;1;16;https://www.themoviedb.org/tv/129888;https://image.tmdb.org/t/p/original/jvFfHNiCKPWRULvkmeocyjm4QtE.jpg;T1:16;김태리 (Na Hee-do), 남주혁 (Baek Yi-jin), 보나 (Ko Yu-rim), 최현욱 (Moon Ji-woong), 이주명 (Ji Seung-wan), 김혜은 (Yang Chan-mi);https://image.tmdb.org/t/p/w185/gFofVUeVlIvBJMUv7maHQwWdfsk.jpg, https://image.tmdb.org/t/p/w185/kuLC8pR24kbEIAjfg3WpKW41Kcl.jpg, https://image.tmdb.org/t/p/w185/z3L2wtjfJ2RoT2fmoUJgsMAXnLZ.jpg, https://image.tmdb.org/t/p/w185/oHG5nnXAzkNBs0xEQlbwOaIFYPQ.jpg, https://image.tmdb.org/t/p/w185/3QpMVrG7fQH0QIfvlc5LczKGTW7.jpg, https://image.tmdb.org/t/p/w185/qoOOqPCwoNoZpZuelhOG1M4klgK.jpg;Creador: 정지현, Kwon Do-eun;Bajo la lluvia, Sullivan's Crossing, SkyMed, Retorno a Edén, Superman y Lois;https://www.youtube.com/watch?v=gYp4cKumTwU
A Good Day To Be A Dog;A Good Day To Be A Dog;TMDB;2023;Hae-na está destinada a heredar la maldición de su familia, que consiste en convertirse en perro tras recibir su primer beso. La única forma de romper la maldición es recibir un segundo beso. El problema es que el chico que le dio a Hae-na su primer beso tiene miedo a los perros.;https://image.tmdb.org/t/p/original/v3NqMcK3tkUXHSpWs0UYVdUruXD.jpg;Drama, Comedia, Ciencia ficción;8.28;1;14;https://www.themoviedb.org/tv/209502;https://image.tmdb.org/t/p/original/zfGAkCE73Hj45hrAVfYWhkbv4f7.jpg;T1:14;박규영 (Han Hae-na), 차은우 (Jin Seo-won), 이현우 (Lee Bo-gyeom), 윤현수 (Choi Yul), 김이경 (Min Ji-a), 류아벨 (Han Yu-na);https://image.tmdb.org/t/p/w185/gnn2As1yZsive7Kxnx24NEN3GfC.jpg, https://image.tmdb.org/t/p/w185/kZUO2s2ZsBRYZ8acu0wMzlGHpRS.jpg, https://image.tmdb.org/t/p/w185/MYEHfwtJUVR021g9mxZcETmqMI.jpg, https://image.tmdb.org/t/p/w185/kL7sHDi7PYdRiQeTtnUeEMXwjkD.jpg, https://image.tmdb.org/t/p/w185/vPExQoWypIKPZGjlSHSazpMtmDa.jpg, https://image.tmdb.org/t/p/w185/sP9CX0sgskjr5whNPJYfYOUyQMm.jpg;Creador: Lee Hye | Director: Kim Dae-woong;El valor absoluto del amor, Mi compañero de cuarto es un zorro de nueve colas, Teen Wolf, La belleza de Gangnam, Eres Extraordinaria;https://www.youtube.com/watch?v=a-yTO3TWJ88
A Hundred Memories;A Hundred Memories;TMDB;2025;Una desgarradora historia de primer amor sobre un hombre vinculado al destino de dos mujeres que trabajaban como guías de autobús en los años 80, y una comedia dramática sobre jóvenes radiantes destinados a brillar.;https://image.tmdb.org/t/p/original/os7TvyWMSdlNQ2ItGY3YrtZkNCS.jpg;Drama;8.4;1;12;https://www.themoviedb.org/tv/271889;https://image.tmdb.org/t/p/original/k46AmUVAj6BCIBu074uLuvi1w70.jpg;T1:12;김다미 (Ko Young-rye), 신예은 (Seo Jong-hee), Heo Nam-jun (Han Jae-pil), Lee Won-jeong (Ma Sang-cheol), 전성우 (Ko Young-sik), 박예니 (Choi Jeong-bun);https://image.tmdb.org/t/p/w185/1biBc16BVz6bnkajnhdHUsE3j8p.jpg, https://image.tmdb.org/t/p/w185/dGJRM6rEdk9NLdryDUg172XK5ip.jpg, https://image.tmdb.org/t/p/w185/17NPgo2g3X6kjLaz9nx2qKFH9.jpg, https://image.tmdb.org/t/p/w185/hczrrDSomDouv3IH8ujed31qKN7.jpg, https://image.tmdb.org/t/p/w185/wpUQNHwwx6icC0zLdQQDruelvA8.jpg, https://image.tmdb.org/t/p/w185/zQplIBdjf5elAloeXQGXJXyrg74.jpg;Director: Kim Sang-ho;The Newsreader, Bel-Air, Rivales, Goliat, Wu-Tang: An American Saga;
致我们单纯的小美好;Un amor tan hermoso;TMDB;2017;Los altibajos propios de los estudios, la familia y la adolescencia pondrán a prueba el afecto entre una artista en ciernes y su guapo pero indiferente vecino y amigo.;https://image.tmdb.org/t/p/original/adrBaKifekfPB2afIfsamBV1kUe.jpg;Comedia, Drama;7.861;1;24;https://www.themoviedb.org/tv/75387;https://image.tmdb.org/t/p/original/8HjYmMowFzMAjXeRI6BbjeGIfx5.jpg;T1:24;胡一天 (Jiang Chen), 沈月 (Chen Xiaoxi), 高至霆 (Wu Bosong), Wang Ziwei (Lin Jingxiao), Sun Ning (Lu Yang), Monica Lv (Li Wei);https://image.tmdb.org/t/p/w185/3TdSv9FWbImvJO65I2z8GEcU791.jpg, https://image.tmdb.org/t/p/w185/za5X2mJ8Q38jjo07ON0l3bP96AR.jpg, https://image.tmdb.org/t/p/w185/A5izANoUTeMk2eXtAr6AqEN5azy.jpg, https://image.tmdb.org/t/p/w185/vLgKlbOZoHUkqx0k2rZsmjmRXfF.jpg, https://image.tmdb.org/t/p/w185/oKKHYR6yCkfEisckawmDFZGE01F.jpg, ;Creador: Zhao Qian Qian | Director: 唐彬, 杨龙;Una cosita llamada primer amor, Felicity, Es mi vida, La chica invisible, Cold Feet;https://www.youtube.com/watch?v=V_1aauD9GUI
A Man Called God;A Man Called God;TMDB;2010;Michael King promete vengar la muerte de sus padres. Él cree que podrá  usar su poder como líder de una organización clandestina de drogas para  castigar a aquellos que lo hirieron. Sin embargo, sus convicciones se  tambalean cuando se enamora de Jin Bo Bae, una reportera.;https://image.tmdb.org/t/p/original/xD7gEI967MDGGJLBwhPeel88BVF.jpg;Drama, Acción;6.8;1;24;https://www.themoviedb.org/tv/38850;https://image.tmdb.org/t/p/original/zsM7PtwJpuzUsUC5ix90X1UgTbv.jpg;T1:24;송일국 (Michael King / Choi Kang-ta), 한채영 (Jin Bo-bae), 정동환, 유인영, 남다름 (Young Choi Kang-ta), Choo Ja-hyun (Seo Mi-soo / Choi Kang-hee);https://image.tmdb.org/t/p/w185/l1SK4GmG636GUzxgK5RoLjwicBZ.jpg, https://image.tmdb.org/t/p/w185/f907YVcWMIWKbgvcotSfgWlIx3G.jpg, https://image.tmdb.org/t/p/w185/IsOgMQrfMKKluEcfu9XCbzbSKq.jpg, https://image.tmdb.org/t/p/w185/x0vOHmoA04xhImosJ2o4UOXxJxh.jpg, https://image.tmdb.org/t/p/w185/qT6H3SVRXXlRyen9ifStY83Hd0u.jpg, https://image.tmdb.org/t/p/w185/iyDFZehw7cbQLZc2MHRxzJdgLZZ.jpg;Creador: Bong-Seong Park;El final del paraíso, Chosen, The Fugitive, Chacal, Aguas turbias;
Abyss;Abyss;TMDB;2008;"Si bien la joven Angelique vive sus días en paz en su escuela, los ataques de los monstruosos Thánatos han ido en aumento por todas partes. Dos Purificadores, los hombres con el poder de exterminar los Thánatos, aparecen un día. Uno de ellos, Nyx, intenta convencerla de unirse con ellos en su trabajo, ya que ella tiene el poder de la única mujer Purificadora pero Angelique duda. Entonces un Tánatos aparece en su escuela, Nyx y el otro Purificador, Rayne, luchan en una batalla perdida. Con sus compañeras de clase siendo presa del Thánatos, y los Purificadores siendo golpeados en su presencia, Angelique del deseo de salvarlos a todos despierta y se convirte en la única mujer Purificadora en la tierra de Arcadia, aquella conocida como el ""Queen's Egg"" (""Huevo de la Reina"").";https://image.tmdb.org/t/p/original/5IkPBvZkdG7lw3HI6QheR0quAiI.jpg;Ciencia ficción, Animación, Drama, Comedia;3.6;2;26;https://www.themoviedb.org/tv/35154;https://image.tmdb.org/t/p/original/2JuREEIuLMapjtE8qRb9FE1NICU.jpg;T1:13|T2:13;Hiroki Takahashi (Rayne), Kappei Yamaguchi (Rune), Daisuke Ono (Hyuuga), Masaya Onosaka (Jade), Aya Endo (Angelique), Toru Okawa (Nyx);https://image.tmdb.org/t/p/w185/lFwGUkR5Lj09FVz7s0xwFgQgeRi.jpg, https://image.tmdb.org/t/p/w185/mJyxKRZxLv9D7LH5KcNSkjSKYOB.jpg, https://image.tmdb.org/t/p/w185/5rjl28lx84JjRS0hzq3Ajvx2dhp.jpg, https://image.tmdb.org/t/p/w185/zaqlNEMaVBdwXHfdI4VSUgc3h0K.jpg, https://image.tmdb.org/t/p/w185/s59Lip4dPC7rI3cz1pHs9vSmuvf.jpg, https://image.tmdb.org/t/p/w185/dkVP18qK730qbki25nogZzBbfuM.jpg;;Jack-of-All-Trades, Party of None, Gachiakuta, Yojouhan Shinwa Taikei, Espíritus del Inframundo, Kanokon;
Alchemy of Souls;Alchemy of Souls;TMDB;2022;Una poderosa hechicera atrapada en el cuerpo de una mujer ciega se encuentra con un integrante de una prestigiosa familia, que necesita su ayuda para cambiar su destino.;https://image.tmdb.org/t/p/original/1TtUh6UT1eLcOxYsBaUBdaBrSws.jpg;Drama, Ciencia ficción, Acción, Misterio;8.559;2;30;https://www.themoviedb.org/tv/135157;https://image.tmdb.org/t/p/original/nBZyWSGAUEzCH7Mna0zUNTpBQlQ.jpg;T1:20|T2:10;이재욱 (Jang Uk), Go Youn-jung (Naksu / Cho-young / Jin Bu-yeon), 황민현 (Seo Yul), 문성현 (Seo Yul (teen)), 신승호 (Crown Prince Go Won), 유준상 (Park Jin);https://image.tmdb.org/t/p/w185/rGGgDCNlbTwENUXXlBD3g9bJDQj.jpg, https://image.tmdb.org/t/p/w185/wQbPu0QF0IeyXpqJmdmRbfNk6CM.jpg, https://image.tmdb.org/t/p/w185/v5EwxluES8RZ8O4eErTz0r9lDJ5.jpg, https://image.tmdb.org/t/p/w185/jInMm61oJJOB9w9Pm8F3HmkYMKz.jpg, https://image.tmdb.org/t/p/w185/6Ca6UNuwVmHPIVGIPQuChOp7oJp.jpg, https://image.tmdb.org/t/p/w185/xAyOtT2ku17QBsLW5NBaYaaYuok.jpg;Creador: 홍정은, 홍미란, 박준화;Sombra y hueso, Iljimae, Impulse, High School Return of a Gangster, Kung Fu;https://www.youtube.com/watch?v=50kLmhGpt1s
Amidst a Snowstorm of Love;Amidst a Snowstorm of Love;TMDB;2024;Como jugadora profesional de billar, Yin Guo es fácilmente una de las mejores. Compitiendo en partidos por todo el mundo acepta de inmediato la invitación a competir en Nueva York, sin saber que lo que seguirá cambiará su vida para siempre.  Después de la competición, Yin Guo decide quedarse un tiempo para participar en un próximo partido abierto. Cuando una inesperada tormenta de nieve lleva a Lin Yi Yang a su vida se establece una conexión instantánea. Aunque Yin Guo no tiene idea de que Yi Yang es un genio en el juego de snooker, y que una vez gozó del foco de la fama del billar profesional pero un desacuerdo sobre una penalización lo alejó del deporte hace más de diez años.  Inspirado por el amor de Yin Guo por el deporte, Yi Yang decide que es el momento adecuado para regresar al mundo del billar profesional. ¿Tendrá Yi Yang lo que se necesita para enfrentar su pasado y cumplir el sueño del que se alejó hace tantos años?;https://image.tmdb.org/t/p/original/ovdiSQeCy6RV5qswr2bVU3mUWz4.jpg;Drama;8.1;1;30;https://www.themoviedb.org/tv/221112;https://image.tmdb.org/t/p/original/2EiNPJuZMTY7Bm9setnS1GqhGAl.jpg;T1:30;吴磊 (Lin Yiyang), 赵今麦 (Yin Guo), 王星越 (Meng Xiaodong), 丁笑滢 (Lin Lin), 董子凡 (Wu Wei), 王佳璇 (Meng Xiaotian);https://image.tmdb.org/t/p/w185/43fYrqW26tisHBblj9lazersTdr.jpg, https://image.tmdb.org/t/p/w185/hndhOhSK0GAMi1qQaacacl3aHzO.jpg, https://image.tmdb.org/t/p/w185/mi4dqtBt53fRpRWFTgCf9GHgOA7.jpg, https://image.tmdb.org/t/p/w185/sCk8K1hA8y92rFQTFLU7H5RQWsy.jpg, https://image.tmdb.org/t/p/w185/x97b3NOgk9RuPCOeWjZJ21vC0gK.jpg, https://image.tmdb.org/t/p/w185/hbDBOaNLIS08BKiG4k7GiHOHF6n.jpg;Creador: 墨宝非宝;Brilla sobre mí, Bailando sobre hielo, Amor Oculto, Love Game in Eastern Fantasy, I Hear You;https://www.youtube.com/watch?v=gmeFwkXFsBs
An Incurable Case of Love;An Incurable Case of Love;TMDB;2020;"Sakura Nanase (Kamishiraishi Mone) conoció al chico de sus sueños, el Dr. Tendo Kairi (Sato Takeru) a través de un encuentro casual y se enamoró de él. Queriendo volver a verlo, estudió mucho y por fin se convirtió en enfermera. Sin embargo, cuando se reencuentran cinco años después, Nanase descubre que el hombre al que adora es una persona completamente diferente de lo que imaginaba. Ella se entera de que él siempre cava en la gente y es un sádico tan extremo que le dieron el apodo de ""Diablo"". Pero Nanase continúa transmitiendo sincera y honestamente sus sentimientos a Tendo. Al instante se hace famosa en el hospital por esto, y su valentía al presionar como un ""héroe"" contra el ""diablo"" le hace ganar el apodo de ""Yuusha-chan"" de sus superiores. A pesar de que se ve completamente imprudente a los ojos de todos, Nanase vierte su corazón en ello. Y su honestidad constante tanto en el trabajo como en el amor comienza a derretir el corazón de acero de Tendo poco a poco.";https://image.tmdb.org/t/p/original/q2tAd2o31kDouJhxGm6xCyacsU6.jpg;Comedia, Drama;7.6;1;10;https://www.themoviedb.org/tv/97948;https://image.tmdb.org/t/p/original/Ak2LujxIqdJBi3RR6bySXQtMk3d.jpg;T1:10;上白石萌音 (Nanase Sakura), Takeru Satoh (Kairi Tendo), 香里奈 (Ryuko Tendo), 毎熊克哉 (Koichi Kisugi), 片瀬那奈 (Sayoko Yuki), 渡邊圭祐 (Ryusei Nishi);https://image.tmdb.org/t/p/w185/cPydoy2sSqFDsbXeBPmzQGPmq0R.jpg, https://image.tmdb.org/t/p/w185/dKWtZXEnTOedUUnDwBCZZN7w2uG.jpg, https://image.tmdb.org/t/p/w185/52r808ysO7KNLodT1AAJlupEO85.jpg, https://image.tmdb.org/t/p/w185/53zjOtTcEWIN1lbKzyPNEAISvuJ.jpg, https://image.tmdb.org/t/p/w185/5G1KIU3hEWMLPqwl9IudsRE4dQK.jpg, https://image.tmdb.org/t/p/w185/6S69gUTZKmiFlFNS5VwxNm1u65Z.jpg;Director: Kenta Tanaka;Nurse Jackie, Scrubs, Eres lo peor, Chicago Med, Con amor;
As You Stood By;As You Stood By;TMDB;2025;Cuando dos mujeres planean acabar con un matrimonio abusivo mediante un asesinato, la llegada de un visitante inesperado amenaza con destruirlo todo.;https://image.tmdb.org/t/p/original/1mCAo5XkkaW67xeF2aAW26HaPFh.jpg;Crimen, Drama, Misterio;8.1;1;8;https://www.themoviedb.org/tv/271885;https://image.tmdb.org/t/p/original/7uVNWsjnmkvqpeqWHq5qpLBv3wd.jpg;T1:8;전소니 (Jo Eun-su), 이유미 (Jo Hui-su), 장승조 (Noh Jin-pyo), 이무생 (Chen Shaobo), 이현준 (Cho Eun-hyuk);https://image.tmdb.org/t/p/w185/dIYceHYZ9lHePBnAsZo2zMEHHAq.jpg, https://image.tmdb.org/t/p/w185/jZgjJqr6pGEegyziY10b4SklqbD.jpg, https://image.tmdb.org/t/p/w185/3HWGHh4Zazo4rEjQNz1B7KEJ9Cd.jpg, https://image.tmdb.org/t/p/w185/xokzuuLDfVzassk0bmje2fvdMcM.jpg, https://image.tmdb.org/t/p/w185/36Z4k5C26TmFeOLysZUNt43a98z.jpg;Creador: 이정림;Mujeres imperfectas, Engaños, Te echo de menos, Cape Fear, 56 días;https://www.youtube.com/watch?v=ZYflvue1yIE
