Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug;Backdrop_URL;Requisitos_Minimos;Requisitos_Recomendados;Recomendaciones;Trailer_URL;Peso_GB
A Plague Tale - Requiem v1.6.0.0;A Plague Tale: Requiem;RAWG;2022.0;Lejos, al otro lado del mar, una isla llama... Embárcate en un desgarrador viaje por un mundo brutal y sobrecogedor, retorcido por fuerzas sobrenaturales. Tras escapar de su devastada tierra natal, Amicia y Hugo viajan hacia el sur, a nuevas regiones y ciudades vibrantes, intentando comenzar una nueva vida y controlar la maldición de Hugo. Pero cuando los poderes de Hugo despiertan de nuevo, la muerte y la destrucción regresan en una marea de ratas devoradoras. Descubre el precio de salvar a quienes amas en una desesperada lucha por sobrevivir.;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Action, Adventure;Asobo Studio;Focus Home Interactive, Focus Entertainment;4.28;;a-plague-tale-requiem;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 10 (20H1 64 bits) Processor: Intel Core i5-4690K (3.5 GHz)/AMD FX-8300 (3.3 GHz) Memory: 16 GB RAM Graphics: 4 GB, GeForce GTX 970/Radeon RX 590 DirectX: Version 12 Storage: 55 GB available space Additional Notes: 30 FPS, 1920x1080 in low. DirectX 12 Feature Level 12 and Shader Model 6.0 are needed.;Recommended: Requires a 64-bit processor and operating system OS: Windows 10 (20H1 64 bits) Processor: Intel Core i7-8700K (3.7 GHz) / AMD Ryzen 5 3600 (3.6 GHz) Memory: 16 GB RAM Graphics: 8 GB, GeForce RTX 3070/Radeon RX 6800 XT DirectX: Version 12 Storage: 55 GB available space Additional Notes: 60 FPS, 1920x1080 in ultra. SSD storage is recommended.;;;38
A Way Out v1.2.0.2;A Way Out;RAWG;2018.0;Dos presos en una cárcel estadounidense de principios de los años 70 deciden escapar juntos. A Way Out es un juego de aventuras en tercera persona donde la historia se narra simultáneamente para dos personajes. Solo se puede jugar en cooperativo, ya sea en pantalla dividida local o en línea.;https://media.rawg.io/media/games/473/473bd9a5e9522629d6cb28b701fb836a.jpg;Action, Adventure;Electronic Arts, Hazelight;Electronic Arts;4.12;78.0;a-way-out-2018;https://media.rawg.io/media/games/473/473bd9a5e9522629d6cb28b701fb836a.jpg;Minimum: Requires a 64-bit processor and operating system OS: Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit Processor: Intel core i3-2100T @ 2.5GHz/AMD FX 6100, or better Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 650Ti 2GB, AMD Radeon HD 7750 2GB Storage: 25 GB available space;"Recommended: Requires a 64-bit processor and operating system OS: Windows 7 64-bit, 8.1 64-bit or Windows 10 64-bit Processor: Intel Core i5 3570K; AMD Ryzen 3 1300x or equivalent Memory: 16 GB RAM Graphics: Nvidia GTX 960; AMD R9 290 or equivalent Storage: 25 GB available space";;;14
Adams Venture Origins Special Edition;Adam's Venture: Origins;RAWG;2016.0;Embárcate en una audaz aventura en Adam's Venture: Origins. Ambientada en los años 20, explorarás ruinas antiguas y recuperarás misteriosos artefactos junto a tu compañera Evelyn, mientras os enfrentáis a la malévola empresa Clairvaux. Cuenta con ingeniosos puzles, un gancho para escalar y una rica narrativa con trasfondo histórico.;https://media.rawg.io/media/screenshots/4fb/4fb79be2a7df903504c20d9fe6f545d7.jpg;Adventure, Indie;SOEDESCO Publishing, Vertigo Games;Soedesco;2.62;;adams-venture-origins;https://media.rawg.io/media/screenshots/4fb/4fb79be2a7df903504c20d9fe6f545d7.jpg;Minimum: OS: Windows 7, 64-bit Processor: i5 Memory: 2 GB RAM Graphics: GTX 745 DirectX: Version 11 Storage: 5 GB available space;Recommended: OS: Windows 7, 64-bit Processor: i7 Memory: 4 GB RAM Graphics: GTX 750 Ti DirectX: Version 11 Storage: 5 GB available space;;;2
Alan Wake 2 v1.2.2;Alan Wake 2;RAWG;2023.0;Alan Wake 2 es un survival horror de atmósfera intensa y una retorcida historia psicológica en capas. Es la esperada secuela del aclamado thriller psicológico de 2010 y de Alan Wake Remastered.;https://media.rawg.io/media/games/5b9/5b963d7633cd640fa2dbc4069d1c6377.jpg;Action;Remedy Entertainment;Epic Games Publishing;4.34;;alan-wake-2;https://media.rawg.io/media/games/5b9/5b963d7633cd640fa2dbc4069d1c6377.jpg;;;;;83
Alan Wake Remastered;Alan Wake;RAWG;2010.0;El superventas de thrillers psicológicos Alan Wake sufre un bloqueo creativo cuando, durante unas vacaciones, es atacado por una oscuridad sobrenatural que posee a personas y animales. Combina acción y horror: los enemigos 'Poseídos' deben ser iluminados antes de poder ser derrotados. El juego tiene el ritmo de una serie de TV, narrada en episodios.;https://media.rawg.io/media/games/5c0/5c0dd63002cb23f804aab327d40ef119.jpg;Action, Shooter, Adventure;Remedy Entertainment;Microsoft Studios, THQ Nordic, Remedy Entertainment;4.09;83.0;alan-wake;https://media.rawg.io/media/games/5c0/5c0dd63002cb23f804aab327d40ef119.jpg;Minimum: OS: Windows XP SP2 Processor: Dual Core 2GHz Intel or 2.8GHz AMD Memory: 2 GB RAM Graphics: DirectX 10 compatible with 512MB RAM DirectX®: 9.0c Hard Drive: 8 GB HD space Sound: DirectX 9.0c compatible;Recommended: OS: Windows 7 Processor: Quad Core 2.66GHz Intel or 3.2GHz AMD Memory: 4 GB RAM Graphics: DirectX 10 compatible or later with 1GB RAM DirectX®: 10 Hard Drive: 8 GB HD space Sound: DirectX 9.0c compatible;;;26
Alice - Madness Returns Complete Edition;Alice: Madness Returns;RAWG;2011.0;Secuela de American McGee's Alice. Alice Liddell debe luchar a través de la retorcida versión de El País de las Maravillas que habita en su mente, descubriendo un oscuro secreto enterrado en sus recuerdos.;https://media.rawg.io/media/games/0b5/0b5410b1e4b3fb72696dcefbf4f1cf40.jpg;Action, Adventure;Electronic Arts, Spicy Horse;Electronic Arts;4.02;75.0;alice-madness-returns;https://media.rawg.io/media/games/0b5/0b5410b1e4b3fb72696dcefbf4f1cf40.jpg;"OS: Windows 7 SP1, Windows Vista with SP2, Windows XP with SP3 Processor: Intel Core2 Duo (or equivalent) running at 1.60GHz or greater; AMD Athlon X2 (or equivalent) running at 1.60GHz or greater Memory: 2048MB or greater Hard Disk Space: 8.5 GB Video Card: *NVIDIA GeForce 7600 256MB or ATI Radeon X1650 256MB or greater Sound: DirectX 9.0c compatible DirectX®: 9.0c *NVIDIA GeForce 8400, 9400, 210; ATI Radeon HD 2400, HD 3200, HD 4300 as well as integrated versions of supported chipsets are belo";;;;7
American Truck Simulator v1.52.0.6;American Truck Simulator;RAWG;2016.0;Conduce por los Estados Unidos en una simulación de camiones realista. Gestiona el combustible, el descanso y las entregas de mercancías por carreteras y ciudades americanas fielmente recreadas. El mapa se ha reescalado para una experiencia aún más inmersiva.;https://media.rawg.io/media/screenshots/135/135a00cf33b0c860fcb366747e95b89b.jpg;Simulation, Indie;SCS Software;SCS Software;3.99;76.0;american-truck-simulator;https://media.rawg.io/media/screenshots/135/135a00cf33b0c860fcb366747e95b89b.jpg;Minimum: OS: Windows 7 64-bit Processor: Dual core CPU 2.4 GHz Memory: 4 GB RAM Graphics: GeForce GTS 450-class (Intel HD 4000) Storage: 3 GB available space;Recommended: OS: Windows 7/8.1/10 64-bit Processor: Quad core CPU 3.0 GHz Memory: 6 GB RAM Graphics: GeForce GTX 760-class (2 GB) Storage: 3 GB available space;;https://steamcdn-a.akamaihd.net/steam/apps/256676315/movie_max.mp4;12
Ancestors - The Humankind Odyssey v1.4;ANCESTORS: The Humankind Odyssey;RAWG;2019.0;Ancestors: The Humankind Odyssey es un juego de supervivencia en mundo abierto en tercera persona donde guías la evolución de un clan de homínidos a lo largo de millones de años. Aprende, evoluciona y adáptate para sobrevivir en una África prehistórica llena de peligros.;https://media.rawg.io/media/games/3ac/3acc7d1846c7c8206fdbc01fd8f2de54.jpg;Action, Adventure, RPG, Indie;Panache Digital Games;Private Division;3.04;69.0;ancestors-the-humankind-odyssey;https://media.rawg.io/media/games/3ac/3acc7d1846c7c8206fdbc01fd8f2de54.jpg;Minimum: Requires a 64-bit processor and operating system OS: System Requirements Coming Soon;Recommended: Requires a 64-bit processor and operating system OS: System Requirements Coming Soon;;;5
Arco v15475793;Arco (itch);RAWG;2016.0;Arco es un shooter en tercera persona centrado en enfrentar al jugador contra oleadas de enemigos coloridos y estilizados en combates frenéticos.;https://media.rawg.io/media/screenshots/aeb/aeb4e25717f965eeb61488b786d92af8.jpg;Shooter;Poptart512, Trident's Surge;;0.0;;arco;https://media.rawg.io/media/screenshots/aeb/aeb4e25717f965eeb61488b786d92af8.jpg;;;;;1
Armored Core;Armored Core VI: Fires of Rubicon;RAWG;2023.0;Acción mecánica dinámica y veloz. Basado en el conocimiento obtenido durante operaciones conjuntas, los jugadores ensamblan y personalizan su propio Armored Core para enfrentarse a intensas misiones de combate en el planeta Rubicon 3.;https://media.rawg.io/media/games/c97/c97aba78a97038867d4b32a81fe48567.jpg;Action;FromSoftware;Bandai Namco Entertainment, FromSoftware, From Software;4.14;;armored-core-vi;https://media.rawg.io/media/games/c97/c97aba78a97038867d4b32a81fe48567.jpg;Mínimo: Requiere un procesador y un sistema operativo de 64 bits SO: Windows 10 Procesador: Intel Core i7-4790K | Intel Core i5-8400 or AMD Ryzen 7 1800X | AMD Ryzen 5 2600 Memoria: 12 GB de RAM Gráficos: NVIDIA GeForce GTX 1650, 4 GB or AMD Radeon RX 480, 4 GB DirectX: Versión 12 Almacenamiento: 60 GB de espacio disponible Tarjeta de sonido: Windows Compatible Audio Device;Recomendado: Requiere un procesador y un sistema operativo de 64 bits SO: Windows 10/11 Procesador: Intel Core i7-7700 | Intel Core i5-10400 or AMD Ryzen 7 2700X | AMD Ryzen 5 3600 Memoria: 12 GB de RAM Gráficos: NVIDIA GeForce GTX 1060, 6GB or AMD Radeon RX 590, 8GB or Intel Arc A750, 8GB DirectX: Versión 12 Almacenamiento: 60 GB de espacio disponible Tarjeta de sonido: Windows Compatible Audio Device;;;47
