Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa;Backdrop_URL;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL;Peso_GB
(500) Days of Summer [2009][1080p][4.24 Gb];(500) días juntos;TMDB;2009;Tom aún sigue creyendo, incluso en este cínico mundo moderno, en la noción de un amor transformador, predestinado por el cosmos y que golpea como un rayo sólo una vez. Summer no cree lo mismo, para nada. La mecha se enciende desde el primer día, cuando Tom, un arquitecto en ciernes convertido en un sensiblero escritor de tarjetas de felicitación, se encuentra con Summer, la bella y fresca nueva secretaria de su jefe. Aunque aparentemente está fuera de su alcance, Tom pronto descubre que tienen un montón de cosas en común. La historia de Tom y Summer cubre desde el enamoramiento, las citas y el sexo hasta la separación, las recriminaciones y la redención, todo lo cual se suma al caleidoscópico retrato del por qué y el cómo seguimos esforzándonos de modo tan risible y rastrero para encontrar sentido al amor… y esperar convertirlo en realidad.;https://image.tmdb.org/t/p/original/xziurNdvxWZkgonZ5ZaGRB9YdLt.jpg;Comedia, Drama, Romance;7.301;95;https://www.themoviedb.org/movie/19913;https://image.tmdb.org/t/p/original/1M2i4Mxd03elGOTmEkIvqrHfmyS.jpg;Joseph Gordon-Levitt (Tom), Zooey Deschanel (Summer), Geoffrey Arend (McKenzie), Chloë Grace Moretz (Rachel), Matthew Gray Gubler (Paul), Clark Gregg (Vance);https://image.tmdb.org/t/p/w185/z2FA8js799xqtfiFjBTicFYdfk.jpg, https://image.tmdb.org/t/p/w185/30KQyjsXfrdm4Dcori7bDFTg9Le.jpg, https://image.tmdb.org/t/p/w185/bpqF3V5lK5GxuIU4VuTaVaztIvw.jpg, https://image.tmdb.org/t/p/w185/yq4rYmaTRC5degaOYmJQFpaiho1.jpg, https://image.tmdb.org/t/p/w185/whjyRyKogwP18w8meMdJD5UFfX8.jpg, https://image.tmdb.org/t/p/w185/mq686D91XoZpqkzELn0888NOiZW.jpg;Director: Marc Webb;Hitch: Especialista en ligues, Siempre el mismo día, El otro París, The Big Picture, Él dijo, ella dijo;https://www.youtube.com/watch?v=PEdNyYpFprw;4.04
¿Quién es quién [2021][720p][1.40 Gb];¿Quién es quién?;TMDB;2021;Una mañana, los Morel se despiertan con un gran problema. ¡Descubren que sus mentes se han intercambiado y que cada uno de ellos está atrapado en el cuerpo de otro miembro de la familia! Chacha, de 6 años, está en el cuerpo del padre, el padre en el cuerpo de su hijo adolescente, el hijo en el cuerpo de la hermana mayor, la hermana mayor en el cuerpo de la madre y la madre en el cuerpo de Chacha... ¿Te has perdido? Ellos también. Y esto es solo el principio.;https://image.tmdb.org/t/p/original/31HE6Hba1pX1SjPWtQzdswWaCaM.jpg;Comedia, Fantasía;5.94;92;https://www.themoviedb.org/movie/606236;https://image.tmdb.org/t/p/original/xHN6SbfKqnDS7BWDRIMJvSAmdMz.jpg;Franck Dubosc (Alain), Alexandra Lamy (Sophie), Christiane Millet (Mamie Thérèse), Rose de Kervenoaël (Chacha), Mathilde Roehrich (Valentine), Anaëlle Othenin-Girard (Léo);https://image.tmdb.org/t/p/w185/2sCXXZYrWSO1nGxuyVBGETj2wdE.jpg, https://image.tmdb.org/t/p/w185/m52fdEhVo6sBjEhgyM6bqFwC1HA.jpg, https://image.tmdb.org/t/p/w185/ojA3u8xvP20FO1Cq5z0tAxgwyZ9.jpg, https://image.tmdb.org/t/p/w185/ZBXYYMrhFBZ7nB3YBotkeD04Bp.jpg, https://image.tmdb.org/t/p/w185/x6RkmA26uk0EqBwZjfJQOtgu5hP.jpg, https://image.tmdb.org/t/p/w185/fSQp7L8X4c101g1bJAMIxSJ6ZMT.jpg;Director: Jean-Patrick Benes;Fumar provoca tos, Las damas primero, Mandíbulas, Amor por conveniencia, Increíble pero cierto;https://www.youtube.com/watch?v=-vGwbSSTJ_g;1.41
¡Ni te me acerques!;¡Ni te me acerques!;TMDB;2020;En la cabeza de Juan, escritor en paro, parecía una buena idea: currar como guarda del Hotel Balneario de Ariño, la misma antigua zona minera donde está ambientando su novela, su soñado best seller histórico con el que debutar por fin. Pero de repente se para el mundo, aparece la pandemia, España entera entra en cuarentena y lo que iba a ser un sencillo trabajo de quince días se convierte en un encierro de tintes paranormales en la nueva normalidad. Juan, atascado y desquiciado, vive la cuarentena con las llamadas de su madre y las videollamadas de su dominante novia, con la que está a punto de casarse. También las de su compañero de piso experto en conspiraciones y las del mismísimo Juan Manuel de Prada, su tutor en un curso de escritura creativa. Solo se relaciona con Evaristo, el mecánico más jeta y porrero de Aragón, con Antonio, el brazo fuerte de la Ley, y con la esquiva y sexy Alicia, encargada de traerle los víveres del supermercado.;https://image.tmdb.org/t/p/original/voePCZdxd2tRlywb1LUjRobtbhs.jpg;Comedia, Romance, Fantasía;5.375;96;https://www.themoviedb.org/movie/766588;https://image.tmdb.org/t/p/original/pXEhHC4ahHQVVIjEdZar2onDZg0.jpg;Eduardo Ferrés (Juan), Rosaría Mira (Alicia), Emilio Buale (Evaristo), Rubén Hernandez (Antonio), Sonia Almarcha (Madre), Juan Manuel de Prada (Self);https://image.tmdb.org/t/p/w185/5yNq7kWajNpSwFIJLHOLOknDhC3.jpg, https://image.tmdb.org/t/p/w185/fBDxEZ7IQ9Eu0PPtg0TN1LRE7rY.jpg, https://image.tmdb.org/t/p/w185/fh5hrdqgNoahnMMdt5UK6sZbarV.jpg, , https://image.tmdb.org/t/p/w185/3dCeLMVuexRKeCIzjwv3c0JCpm6.jpg, https://image.tmdb.org/t/p/w185/98Gx5hhGp770GjOutNuOL0QFDvF.jpg;Director: Norberto Ramos del Val;Una chica buena como tú, Los juegos del amor, Socias por accidente, ¿Quieres ser mi... hijo?, Déjate querer;https://www.youtube.com/watch?v=gmekzkxf6a8;1.24
007 - Casino Royale [1967][1080p][3.3 Gb];Casino Royale;TMDB;1967;James Bond, en su dorado retiro, se deja convencer por una delegación de las grandes potencias para participar en una investigación sobre la SMERSH, una misteriosa organización internacional que pretende acabar con la estabilidad mundial.;https://image.tmdb.org/t/p/original/5mXtdNHRv3rckWq9KkZ0Qf2ng5v.jpg;Aventura, Acción, Comedia;5.3;131;https://www.themoviedb.org/movie/12208;https://image.tmdb.org/t/p/original/bzd7Uph8qfAB3fi488rIE3x2pWg.jpg;David Niven (James Bond), Peter Sellers (Evelyn Tremble), Ursula Andress (Vesper Lynd), Orson Welles (Le Chiffre), Joanna Pettet (Mata Bond), Daliah Lavi (The Detainer);https://image.tmdb.org/t/p/w185/ioW2DU6T2HPvTdqUSaLLQmGPb38.jpg, https://image.tmdb.org/t/p/w185/sCVIv2DGoC9U16anTjLwMxKBPZ.jpg, https://image.tmdb.org/t/p/w185/mZSFE3vayIgXmfot4btC7K1rECZ.jpg, https://image.tmdb.org/t/p/w185/e9lGmqQq3EsHeUQgQLByo275hcc.jpg, https://image.tmdb.org/t/p/w185/c5mXJYTMy1mKM9r59GmWrUf18CG.jpg, https://image.tmdb.org/t/p/w185/185wZM1WuDkoxiPrVjK8QLjpu2Q.jpg;Director: Joseph McGrath, Robert Parrish;Agente 007 contra el Dr. No, Casino Royale, Vive y deja morir, Spectre, Agente juvenil;https://www.youtube.com/watch?v=e_YndB3k170;3.11
Skyfall;Skyfall;TMDB;2012;En Skyfall, la lealtad de James Bond hacia M será puesta a prueba cuando el pasado de M vuelve para atormentarla. Su vida se verá en peligro, de modo que el agente 007 deberá localizar y eliminar la amenaza, sin importar el precio personal que tendrá que pagar. Tras el fracaso de la última y fatídica misión de Bond y revelarse la identidad de varios agentes secretos en distintos puntos del planeta, la sede del MI6 es atacada, obligando a M a trasladar su agencia. Debido a estos sucesos, su autoridad y posición se verán amenazados por Mallory, el nuevo Presidente del Comité de Inteligencia y Seguridad. Ahora, el MI6 se enfrenta a amenazas tanto externas como internas por lo que M decide acudir al único aliado en quien puede confiar: Bond. El agente 007 desaparece en las sombras con una única aliada: la agente de campo Eve. Juntos le seguirán la pista al misterioso Silva.;https://image.tmdb.org/t/p/original/lz5kTkm3az7Ww0uTLRvCGgudnaa.jpg;Acción, Aventura, Suspense;7.263;143;https://www.themoviedb.org/movie/37724;https://image.tmdb.org/t/p/original/wkA622CCN2X0uwpgqYEOnUYEDf5.jpg;Daniel Craig (James Bond), Judi Dench (M), Javier Bardem (Silva), Ralph Fiennes (Gareth Mallory), Naomie Harris (Eve), Bérénice Marlohe (Séverine);https://image.tmdb.org/t/p/w185/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg, https://image.tmdb.org/t/p/w185/cpna5VGvAxuKuC31xJPBKy9zbnv.jpg, https://image.tmdb.org/t/p/w185/p5xjCovj1uzvA2SXrWLH78Nh1Jf.jpg, https://image.tmdb.org/t/p/w185/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg, https://image.tmdb.org/t/p/w185/41TVAcYqKKF7PGf3x7QfaLvkLSW.jpg, https://image.tmdb.org/t/p/w185/o6geSuiTxUUKIdntoKuaesrmIJ2.jpg;Director: Sam Mendes;Muere otro día, Desde Rusia con amor, Nunca digas nunca jamás, El hombre de la pistola de oro, El mañana nunca muere;https://www.youtube.com/watch?v=sgNh7UrbMDY;
007 - No Time to Die [2021][1080p][3 32 Gb];Sin tiempo para morir;TMDB;2021;James Bond se encuentra disfrutando de unas merecidas vacaciones en Jamaica. Sin embargo, su paz termina cuando su amigo de la CIA, Felix Leiter, lo busca para una nueva misión que implica rescatar a un importante científico que ha sido secuestrado.;https://image.tmdb.org/t/p/original/4yk2270JA6QpnN8xkuRsnPVXgdP.jpg;Acción, Suspense, Aventura;7.341;163;https://www.themoviedb.org/movie/370172;https://image.tmdb.org/t/p/original/bz7pwNGCbV576COsDcYN9MbEACC.jpg;Daniel Craig (James Bond), Léa Seydoux (Madeleine), Rami Malek (Lyutsifer Safin), Lashana Lynch (Nomi), Ralph Fiennes (M), Ben Whishaw (Q);https://image.tmdb.org/t/p/w185/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg, https://image.tmdb.org/t/p/w185/xcYZOScYqziWjPcf3xIfQUMBYlZ.jpg, https://image.tmdb.org/t/p/w185/mESIaMPIPxtyWDQ6DAChUBobOp5.jpg, https://image.tmdb.org/t/p/w185/ypNxRag9uJ5nzPAN2um3amQK340.jpg, https://image.tmdb.org/t/p/w185/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg, https://image.tmdb.org/t/p/w185/sgZXPptHQLzKJknF6SKLl7HRiu8.jpg;Director: Cary Joji Fukunaga;Spectre, James Bond contra Goldfinger, 007 al servicio secreto de su Majestad, Amateur, Sólo se vive dos veces;https://www.youtube.com/watch?v=HsQDZAKTqF4;3.33
007 - Quantum [2008][1080p][3 Gb];Quantum of Solace;TMDB;2008;Traicionado por Vesper, la mujer a la que amaba, 007 se plantea su nueva misión como algo personal. Durante su investigación, Bond y M interrogan a Mr. White, que les revela que la organización que chantajeó a Vesper es mucho más compleja y peligrosa de lo que imaginan. El servicio de inteligencia forense vincula a un traidor del Mi6 con una cuenta bancaria en Haití, donde Bond conoce a la bella pero combativa Camille, una mujer que tiene sus propios motivos para vengarse. Gracias a Camille, Bond descubre la existencia de Dominic Greene, despiadado hombre de negocios y miembro importante de la misteriosa organización.;https://image.tmdb.org/t/p/original/zXkvsMkHbvFT9FMw7U9df0ZDuhb.jpg;Aventura, Acción, Suspense;6.337;106;https://www.themoviedb.org/movie/10764;https://image.tmdb.org/t/p/original/uGs5Z7dMguf7kxWubGFcp9EhKcy.jpg;Daniel Craig (James Bond), Ольга Куриленко (Camille), Mathieu Amalric (Dominic Greene), Judi Dench (M), Giancarlo Giannini (Mathis), Gemma Arterton (Strawberry Fields);https://image.tmdb.org/t/p/w185/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg, https://image.tmdb.org/t/p/w185/ei6eYUhQFw2AaV6U5fyPptBaPF0.jpg, https://image.tmdb.org/t/p/w185/fMhfoTbjlXQy2Iojp7oYx49hLQl.jpg, https://image.tmdb.org/t/p/w185/cpna5VGvAxuKuC31xJPBKy9zbnv.jpg, https://image.tmdb.org/t/p/w185/xsnoThKUjFlhmvXKS4ZqAx1x3zb.jpg, https://image.tmdb.org/t/p/w185/dbBjz1EC9SqoudIaJ75NOB56bbh.jpg;Director: Marc Forster;Skyfall, Operación Fortune: El gran engaño, Wanted (Se busca), Assassin Club, Hanna;https://www.youtube.com/watch?v=vSYTi0ZdMPs;2.81
007 - Spectre [2015][1080p][4,10 Gb];Spectre;TMDB;2015;Un críptico mensaje del pasado envía a James Bond a una misión secreta a México D.F. y luego a Roma, donde conoce a Lucía Sciarra, la hermosa viuda de un infame criminal. Bond se infiltra en una reunión secreta y descubre la existencia de una siniestra organización conocida como SPECTRE. Mientras tanto, en Londres, el nuevo director del Centro para la Seguridad Nacional cuestiona las acciones de Bond y pone en duda la importancia del MI6, encabezado por M. De modo encubierto Bond recluta a Moneypenny y Q para que le ayuden a buscar a Madeleine Swann, la hija de su antiguo archienemigo, el Sr. White, que quizá tenga la clave para desentrañar el misterio de SPECTRE. A medida que Bond avanza en su misión, descubre una estremecedora conexión entre él mismo y el enemigo que busca.;https://image.tmdb.org/t/p/original/8NCrCV6tR0Uafp8eVYiZbRsvrAv.jpg;Acción, Aventura, Suspense;6.6;148;https://www.themoviedb.org/movie/206647;https://image.tmdb.org/t/p/original/8lBViysvNJBPkl6zG1LVAaW3qhj.jpg;Daniel Craig (James Bond), Christoph Waltz (Blofeld), Léa Seydoux (Madeleine), Ralph Fiennes (M), Monica Bellucci (Lucia), Ben Whishaw (Q);https://image.tmdb.org/t/p/w185/iFerDZUmC5Fu26i4qI8xnUVEHc7.jpg, https://image.tmdb.org/t/p/w185/jMvLGCVXLaBqjRLf5olyvEucZob.jpg, https://image.tmdb.org/t/p/w185/xcYZOScYqziWjPcf3xIfQUMBYlZ.jpg, https://image.tmdb.org/t/p/w185/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg, https://image.tmdb.org/t/p/w185/7g3k3u2gZpE7XU8GRYwHDuN1jlM.jpg, https://image.tmdb.org/t/p/w185/sgZXPptHQLzKJknF6SKLl7HRiu8.jpg;Director: Sam Mendes;The Bourne Identity: El caso Bourne, James Bond contra Goldfinger, Casino Royale, Misión imposible: Nación secreta, Desde Rusia con amor;https://www.youtube.com/watch?v=ycih-sGr9js;3.92
10 Things I Hate about You [1999][1080p][3.77 Gb];10 razones para odiarte;TMDB;1999;Las hermanas Stratford son muy distintas. La guapa y popular Bianca nunca ha salido con un chico, y Kat, su hermana mayor, es una bruja con muy mal genio, y algo arisca, que se ha propuesto rechazar a cualquier chico que demuestre el más mínimo interés por ella. Desgraciadamente, el estricto reglamento que rige el hogar de los Stratford prohibe a Blanca tener novio hasta que su insoportable hermana tenga uno, situación que parece más que improbable teniendo en cuenta que Kat lleva una vida social desastrosa. Blanca está desesperada por ir al baile de fin de curso. Pero su pretendiente, Cameron, guarda una sorpresa...;https://image.tmdb.org/t/p/original/ugSquUOt4U0a6xsgWUiOZcr5plz.jpg;Comedia, Romance, Drama;7.594;97;https://www.themoviedb.org/movie/4951;https://image.tmdb.org/t/p/original/yvPbncYhMu9FfTjDhq0N5lgnVkO.jpg;Heath Ledger (Patrick Verona), Julia Stiles (Katarina Stratford), Joseph Gordon-Levitt (Cameron James), Larisa Oleynik (Bianca Stratford), David Krumholtz (Michael Eckman), Andrew Keegan (Joey Donner);https://image.tmdb.org/t/p/w185/AdWKVqyWpkYSfKE5Gb2qn8JzHni.jpg, https://image.tmdb.org/t/p/w185/okcblz7pqeapHorLvxtxd3iNNic.jpg, https://image.tmdb.org/t/p/w185/z2FA8js799xqtfiFjBTicFYdfk.jpg, https://image.tmdb.org/t/p/w185/i3W6ztn8kTKAaZoLS77Tz9GhP7C.jpg, https://image.tmdb.org/t/p/w185/2vaimzfyPQVxZGHbQS5M3z3tZw0.jpg, https://image.tmdb.org/t/p/w185/4QWgKVO8tgOiyzxZeGoGfVLJcOo.jpg;Director: Gil Junger;Un gran amor, Conquista a medias, El último baile, Sierra Burgess es una perdedora, Mi novia de mentira;https://www.youtube.com/watch?v=GbWQ_VXek6A;3.6
100 Metros [2016][1080p][3.95 Gb];100 metros;TMDB;2016;Ramón Arroyo es un empresario de éxito y un padre de familia que quisiera pasar más tiempo con su mujer e hijo. Cuando su suegro, viudo y amargado, se instala en su casa, él empieza a usar el trabajo como válvula de escape. Pero entonces es diagnosticado con esclerosis múltiple y pronto no podrá caminar ni 100 metros. Ramón intenta ignorar la realidad, y acaba asilándose del mundo… Hasta el nacimiento de su segundo hijo. Con la llegada del pequeño se propone seguir luchando y por eso toma la decisión de acabar la prueba atlética más dura del mundo: el ironman.;https://image.tmdb.org/t/p/original/3tSFaWi4CGnwBMYD429ocKVeoIM.jpg;Comedia, Drama;7.379;109;https://www.themoviedb.org/movie/402693;https://image.tmdb.org/t/p/original/eduYYQSmT4NLQlNhsrU9BdSPTFm.jpg;Dani Rovira (Ramón), Alexandra Jiménez (Inma), Karra Elejalde (Manolo), Maria de Medeiros (Noelia), David Verdaguer (Mario), Andrea Trepat (Becaria Lili);https://image.tmdb.org/t/p/w185/8pC332VwrQi1hzsVKV5Jr8r7mLB.jpg, https://image.tmdb.org/t/p/w185/wkVjpWajYRV1Bj7OyJmmFcb5ixF.jpg, https://image.tmdb.org/t/p/w185/kHODqgc2c7RaZz9Sp7cedgadvzG.jpg, https://image.tmdb.org/t/p/w185/v53G55qSYaVRvbgUZ2uch4gVHT6.jpg, https://image.tmdb.org/t/p/w185/6TreWuZXVK9qYoHC0qLSbnHA1e0.jpg, https://image.tmdb.org/t/p/w185/qTPfRTjbjdfdnCgkchdhyjkvkZ3.jpg;Director: Marcel Barrena;Las nadadoras, Foxcatcher, La caída, Ping Pong Playa, The Black Balloon;https://www.youtube.com/watch?v=kXPFvFJAsTA;3.76
