Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa;Backdrop_URL;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL;Peso_GB
The Cure;Que nada nos separe;TMDB;1995;Erik, un joven de trece años, y su madre se trasladan a una nueva casa en Minnesota. El muchacho se siente como un pez fuera del agua y tiene dificultad para encontrar amigos, hasta que conoce a Dexter, un chico más pequeño que vive en la casa de al lado. Erik y Dexter se llevan muy bien, pero un día la madre de Erik le prohíbe acercarse a su amigo porque se entera de que hace unos años contrajo el SIDA a causa de una negligencia en una transfusión de sangre. (FILMAFFINITY);https://image.tmdb.org/t/p/original/wHX2Yik29eBKW4l7Wt0DRIcUO78.jpg;Drama, Familia;7.9;97;https://www.themoviedb.org/movie/6715;https://image.tmdb.org/t/p/original/cXliQvK1xSi9lSqP7qaBUyED1Az.jpg;Joseph Mazzello (Dexter), Brad Renfro (Erik), Annabella Sciorra (Linda), Diana Scarwid (Gail), Bruce Davison (Dr. Stevens), Nicky Katt (Pony);https://image.tmdb.org/t/p/w185/4O3sx4YcgxRKvCuImCda2aoe2Hv.jpg, https://image.tmdb.org/t/p/w185/oOtzyE9wkbBV58ZxyYsGzyPxoSw.jpg, https://image.tmdb.org/t/p/w185/p2dnBSjLzKxldrHCQZYmVq0LcFw.jpg, https://image.tmdb.org/t/p/w185/jGxYoIVKP8neczCUPHxBMoOY8lH.jpg, https://image.tmdb.org/t/p/w185/41JtouCUhnnBwWmdsemPydtk3FB.jpg, https://image.tmdb.org/t/p/w185/9OY1D1WXJsqC7OnrKErc3mFfly5.jpg;Director: Peter Horton;Mud, La Skater, Donde el helecho rojo crece, Río salvaje, En el filo de la duda;https://www.youtube.com/watch?v=AKq57Gr_i9E;2
Maleficent;Maléfica;TMDB;2014;Es la historia jamás contada de Maléfica, la villana más querida de Disney, la mala de 'La Bella durmiente', el clásico de 1959. La película relata los acontecimientos que endurecieron su corazón y la llevaron a lanzar una maldición sobre la pequeña Aurora.;https://image.tmdb.org/t/p/original/i8qn2A0Qfjj45EXlZVt92WnX7iH.jpg;Fantasía, Aventura, Acción, Familia, Romance;7.09;97;https://www.themoviedb.org/movie/102651;https://image.tmdb.org/t/p/original/bNiiUCQUD7ij5Ybh2GoWSZwqAb1.jpg;Angelina Jolie (Maleficent), Elle Fanning (Aurora), Imelda Staunton (Knotgrass), Sharlto Copley (Stefan), Lesley Manville (Flittle), Juno Temple (Thistletwit);https://image.tmdb.org/t/p/w185/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg, https://image.tmdb.org/t/p/w185/ucC5faqfEYVhoC25M6Hi3znZmab.jpg, https://image.tmdb.org/t/p/w185/tABRYOHUQeaUCAqrelJV5ZHjl1W.jpg, https://image.tmdb.org/t/p/w185/em89OJJvBRX7kNJJPASmNKQujsC.jpg, https://image.tmdb.org/t/p/w185/tioPlSoypjdME3oMu3g7XmgIIKS.jpg, https://image.tmdb.org/t/p/w185/n20TNExAma6q9iVcWtPRxLl7pEc.jpg;Director: Robert Stromberg;La bella y la bestia, La bella durmiente, La Cenicienta III: Qué pasaría si…, Maléfica: Maestra del mal, Los descendientes 2;https://www.youtube.com/watch?v=nlmepzBRb80;1.4
Maleficent: Mistress of Evil;Maléfica: Maestra del mal;TMDB;2019;Maléfica: Maestra del mal, de Disney, es una aventura de fantasía que retoma la historia de Maléfica varios años más tarde —en la que se dieron a conocer los hechos que endurecieron el corazón de la villana más emblemática de Disney y la llevaron a arrojar una maldición sobre la princesa recién nacida: Aurora. La película continúa explorando la compleja relación entre el hada de enormes cuernos y la futura reina, mientras forjan nuevas alianzas y se enfrentan a nuevos adversarios en su lucha por proteger el páramo y las criaturas mágicas que lo habitan.;https://image.tmdb.org/t/p/original/eZOkXqHXWCKytd78TggAtJ0M3gU.jpg;Familia, Fantasía, Aventura;7.294;119;https://www.themoviedb.org/movie/420809;https://image.tmdb.org/t/p/original/skvI4rYFrKXS73BJxWGH54Omlvv.jpg;Angelina Jolie (Maleficent), Elle Fanning (Princess Aurora), Harris Dickinson (Prince Phillip), Michelle Pfeiffer (Queen Ingrith), Sam Riley (Diaval), Chiwetel Ejiofor (Conall);https://image.tmdb.org/t/p/w185/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg, https://image.tmdb.org/t/p/w185/ucC5faqfEYVhoC25M6Hi3znZmab.jpg, https://image.tmdb.org/t/p/w185/pqqnYWWHa3Va80EXofXrVlRqIDM.jpg, https://image.tmdb.org/t/p/w185/8qwNMFzmM3BxGKIj1iIqiHHBpx3.jpg, https://image.tmdb.org/t/p/w185/hhcP4bUe4jpxPam6vBMikCxMD4k.jpg, https://image.tmdb.org/t/p/w185/kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg;Director: Joachim Rønning;Maléfica, Los descendientes 2, Cenicienta, Los Descendientes: viaje al mundo oscuro, La Cenicienta III: Qué pasaría si…;https://www.youtube.com/watch?v=KyoDGNYUimM;1.9
Tuner;Un talento único;TMDB;2026;Las meticulosas habilidades de un talentoso afinador de pianos le llevan a descubrir una inesperada aptitud para abrir cajas fuertes, lo que pone su vida patas arriba.;https://image.tmdb.org/t/p/original/xIRryl8bWHFaMDssKFcPAXhfrRB.jpg;Crimen, Drama, Suspense;7.188;109;https://www.themoviedb.org/movie/1340206;https://image.tmdb.org/t/p/original/sT5Inhc0aaReSZoufWgfJTQUbKp.jpg;Leo Woodall (Niki White), Havana Rose Liu (Ruthie), ליאור רז (Uri), Tovah Feldshuh (Marla), Gil Cohen (Yoni), Nissan Sakira (Benny);https://image.tmdb.org/t/p/w185/yv2JjEVm1jLR44ynkyYfhWP4I6r.jpg, https://image.tmdb.org/t/p/w185/lqdialbfdj5l4KYMSlL4aausMaV.jpg, https://image.tmdb.org/t/p/w185/bl3KLFUQ4Q0zC9lCU4qP1Jf4qHS.jpg, https://image.tmdb.org/t/p/w185/c0VOkTP88UneW37YOBebtBhMHYF.jpg, https://image.tmdb.org/t/p/w185/lHZi4fChatE5ul54xaAAWppQ8sR.jpg, https://image.tmdb.org/t/p/w185/hGr4YLXaNZ6nWOOQ9Wih6QNqOU.jpg;Director: Daniel Roher;Falso culpable, Bailar en la oscuridad, La huella, John Q, Ocean's Twelve;https://www.youtube.com/watch?v=XiehvETTjTQ;4.2
Camp Rock 3;Camp Rock 3;TMDB;2026;Los Connect 3 buscan un nuevo artista para abrir sus conciertos. La competencia por el puesto desata rivalidades y romances, ya que todos luchan por destacar.;https://image.tmdb.org/t/p/original/kTKqtgBo0GDNOdPxJIPZctbK0Xl.jpg;Música, Comedia, Drama, Película de TV;6.1;93;https://www.themoviedb.org/movie/1493400;https://image.tmdb.org/t/p/original/vJb3fniB8E0JnSMr1tDyIsb6gPi.jpg;Liamani Segura (Sage), Malachi Barton (Fletch), Lumi Pollack (Rosie), Hudson Stone (Desi), Casey Trotter (Cliff), Brooklynn Pitts (Callie);https://image.tmdb.org/t/p/w185/jqjmZQwrYQNj9QModC9HoEfF3N2.jpg, https://image.tmdb.org/t/p/w185/lmV6ParCZkniV1OQO71xxfjFjaG.jpg, https://image.tmdb.org/t/p/w185/ngKlo2wJ54OMDFgX3cpFEdsTvfi.jpg, https://image.tmdb.org/t/p/w185/q7cpKCtm50jPnlYESislWb1H8Gr.jpg, https://image.tmdb.org/t/p/w185/xVCdT8ww3iuU8bPYG548GKK5Z8S.jpg, https://image.tmdb.org/t/p/w185/s4SC9qvQVzFYhd4WxPerCaC8uuy.jpg;Director: Veronica Rodriguez;Camp Rock, Drumline: A New Beat, High School Musical 2, High School Musical 3: Fin de curso, Grease Live;https://www.youtube.com/watch?v=mLXBZArUEoM;3.5
Ouija: Origin of Evil;Ouija: el origen del mal;TMDB;2016;En Ouija: El origen del mal, la secuela del éxito inesperado del 2014, un grupo de ilusos amigos debe confrontar sus más terribles miedos cuando desatan un mal del más allá que sólo ellos pueden mandar de regreso. El siguiente capítulo del thriller supernatural, inspirado por el antiguo tablero de los espíritus, es producida de nuevo por el equipo de Platinum Dunes, Michael Bay, Brad Fuller y Andrew Form (La masacre de Texas, la saga The Purge , Las tortugas ninja)y Blumhouse Productions de Jason Blum (The Purge- La noche de las bestias y La noche del domonio), junto con Brian Goldner de Hasbro (Transformers y G.I. Joe), Mike Flanagan y Jeff Howard (Oculus) escribieron el guión y Universal distribuirá la película internacionalmente. (Título original - Ouija: Origin of Evil) - 2016 Universal Studios. All Rights Reserved.;https://image.tmdb.org/t/p/original/yr6VLo3diWRMuDZUTqgXt9M8kPW.jpg;Terror;6.162;98;https://www.themoviedb.org/movie/335796;https://image.tmdb.org/t/p/original/gcwRlIbVurhcqbpYeCJU9HJgYmQ.jpg;Parker Mack (Mikey), Annalise Basso (Paulina Zander), Elizabeth Reaser (Alice Zander), Lulu Wilson (Doris Zander), Henry Thomas (Father Tom), Halle Charlton (Ellie);https://image.tmdb.org/t/p/w185/6b14Zk0nCrVjoaxdUqNwFOOBFK3.jpg, https://image.tmdb.org/t/p/w185/83ZIWVz4TxrCNgnUVayrMnv9UXA.jpg, https://image.tmdb.org/t/p/w185/gYzfVDwWI6A955MEtX1ZqfZIuN2.jpg, https://image.tmdb.org/t/p/w185/7qqMBuvdZoayPVmVZKHBLqUgKiJ.jpg, https://image.tmdb.org/t/p/w185/tyTcpTMIAyIIy30u8N59G0PI06f.jpg,;Director: Mike Flanagan;Annabelle: Creation, Paranormal Activity 2, Posesión infernal (Evil Dead), Diabolic, Expediente Warren: El caso Enfield;https://www.youtube.com/watch?v=cFjgToKgPyE;2.2
Ouija Warehouse;Ouija - La reunion;TMDB;2021;A algunos amigos les ocurren sucesos extraños antes de una fiesta de cumpleaños en un gran almacén. Dos de ellos encuentran una vieja tabla de espíritus y deciden ponerse en contacto con los antiguos inquilinos de la víctima muerta.;https://image.tmdb.org/t/p/original/ybRF4TLvBsdVyUZGaPaoC0pd3TG.jpg;Terror;5;86;https://www.themoviedb.org/movie/842715;https://image.tmdb.org/t/p/original/lZx7XJ3sYEDiVGaKv7xcZNTbujG.jpg;Abby Joy (Sarah), Angel Rose Keeley (Isabella), Kristin Keith (Elaine Gordon), Suha Kim (Kay), Swisyzinna (La'Nette), Chaselyn Wade (Star);https://image.tmdb.org/t/p/w185/qLMGS9OcLInYRs0yGhscOjz2jyq.jpg, , https://image.tmdb.org/t/p/w185/mVV1ykz1UNWbXtCxAakyDJfqpCy.jpg, , https://image.tmdb.org/t/p/w185/8JwHseOpOd9TbtJ0kM221MMMfXW.jpg, https://image.tmdb.org/t/p/w185/y5MG00rHC9cAXhZIyXsr9gyJonT.jpg;Director: Israel Luna;Paranormal Activity, Paranormal Activity 2, Paranormal Activity 3, The Boogeyman, Regalo maldito;https://www.youtube.com/watch?v=3tp9xrXc4uE;2.2
Little Bone Lodge;El frío en los huesos;TMDB;2023;Durante una feroz tormenta en las remotas Tierras Altas de Escocia, dos hermanos criminales en fuga buscan refugio en una aislada granja. Tomando a la familia residente como rehenes, pronto descubren que la casa guarda oscuros secretos y que la matriarca de la familia es una mujer formidable que hará lo que sea necesario para proteger a los suyos. Lo que comienza como una invasión se convierte en un juego mortal de supervivencia y revelaciones inesperadas.;https://image.tmdb.org/t/p/original/2WcmeDb6HQjofrWWLsCk94yGdbZ.jpg;Terror, Crimen, Suspense;6.607;93;https://www.themoviedb.org/movie/1075335;https://image.tmdb.org/t/p/original/uqyjO3wzR7Kj2WL4bMiUljiEM29.jpg;Joely Richardson (Ma), Sadie Soverall (Maisy), Neil Linpow (Jack), Harry Cadby (Matty), Roger Ajogbe (Pa), Euan Bennet (Duncan);https://image.tmdb.org/t/p/w185/6OWUwieNiWcZNnu4h6gd8vyhxBV.jpg, https://image.tmdb.org/t/p/w185/42Px418cE5HMWhio5qBRk4K8XHO.jpg, https://image.tmdb.org/t/p/w185/1be5xAB1L4gCdo6cd01pYfSZMc0.jpg, https://image.tmdb.org/t/p/w185/kjgGsbCOAONVzMU81Z0msHVUDIE.jpg, https://image.tmdb.org/t/p/w185/pRuUquo4CsCIbofJgmjhLLtaDZc.jpg, https://image.tmdb.org/t/p/w185/5dReuMfl0mBb6Z8hTHvMJBxcT4c.jpg;Director: Matthias Hoene;Un lugar solitario para morir, Asalto en la noche, Mercy Falls, Te veo, 825 Forest Road;https://www.youtube.com/watch?v=VJwmZkcTcaQ;2.4
Armor;Armor;TMDB;2024;Un padre y un hijo trabajan como guardias de seguridad para una empresa de camiones blindados. Cuando se encuentran con un equipo de posibles ladrones mientras están atrapados en un puente, deben idear un plan para escapar y asegurar su supervivencia.;https://image.tmdb.org/t/p/original/hSUmtSJOslBLULMtoYK6XlqfWu7.jpg;Acción, Crimen, Suspense;5.454;89;https://www.themoviedb.org/movie/1182387;https://image.tmdb.org/t/p/original/evFChfYeD2LqobEJf8iQsrYcGTw.jpg;Jason Patric (James), Sylvester Stallone (Rook), Josh Wiggins (Casey), Dash Mihok (Smoke), Blake Shields (Tex), Josh Whites (Echo);https://image.tmdb.org/t/p/w185/iv21ZjE90f9QNiNONKF9Lp6ZD68.jpg, https://image.tmdb.org/t/p/w185/gn3pDWthJqR0VDYGViGD3048og7.jpg, https://image.tmdb.org/t/p/w185/8ibSjOrx62IRfcBVssu6q3lzlQp.jpg, https://image.tmdb.org/t/p/w185/jnruNUJv57nNtO66SR3oJ5tQuM5.jpg, https://image.tmdb.org/t/p/w185/95XAe4FcX8CG2reCPFrJ74W2Vt5.jpg, https://image.tmdb.org/t/p/w185/pJAN0zyuX7lwW97uYDmAe081DHA.jpg;Director: Justin Routt;Juego sucio, Red de mentiras, El último encargo, Al otro lado de la ley, Despierta la furia;https://www.youtube.com/watch?v=tzQsSmDc8gw;4.8
The Book of Eli;El libro de Eli;TMDB;2010;En un futuro apocalíptico, 30 años después del 'resplandor' que aniquiló la casi totalidad de la sociedad civilizada, unos pocos humanos sobreviven en un ambiente increíblemente hostil y árido. Violaciones, canibalismo y salvajismo imperan en unas derruidas ciudades donde el más fuerte y el que posee el agua impone su ley. Vagando por la carretera, un guerrero solitario (Denzel Washington) se dirige al oeste con una sola misión: proteger un misterioso libro que lleva en su mochila.;https://image.tmdb.org/t/p/original/ufvg1HHiFSiRRpwEMYK5gbYpTi.jpg;Acción, Suspense, Ciencia ficción;6.808;118;https://www.themoviedb.org/movie/20504;https://image.tmdb.org/t/p/original/aPrrrGtSjXbw8XnpzsVJgF0ioq3.jpg;Denzel Washington (Eli), Gary Oldman (Carnegie), Mila Kunis (Solara), Ray Stevenson (Redridge), Jennifer Beals (Claudia), Michael Gambon (George);https://image.tmdb.org/t/p/w185/jj2Gcobpopokal0YstuCQW0ldJ4.jpg, https://image.tmdb.org/t/p/w185/yhaSM5habNNI1Tf4ALRwRk3VvSZ.jpg, https://image.tmdb.org/t/p/w185/cJAHQWX9hVadDFx5WTSBIW0VjvP.jpg, https://image.tmdb.org/t/p/w185/9QCVNDgTgDEbGsa6w3JuECEPuQz.jpg, https://image.tmdb.org/t/p/w185/tu1CjyjoUoV7rGPyvwvH9b0MlbW.jpg, https://image.tmdb.org/t/p/w185/3jdWkDKf4IODbG4JKTeaC7AzxZH.jpg;Director: Allen Hughes, Albert Hughes;The Last Survivors, El último hombre... vivo, Doomsday: El día del juicio, Perseguido, Azrael;https://www.youtube.com/watch?v=yAQcwKY0Dik;3.2
