Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Capitulos;URL_TMDB;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
¿A quien estas Esperando?;2024 - 2024;Comedia sobre problemas amorosos. Dos parejas se enamoran, pero el miedo al compromiso les impide arriesgarse y perder su independencia.;https://image.tmdb.org/t/p/original/57492VZEw95jseXa6NKV7Scnvin.jpg;Comedia;8.467;2;9;;;;;;;;
007: Camino al millon;2023 - 2025;Nueve parejas se ven envueltas en una aventura alrededor del mundo para enfrentarse a una serie de retos inspirados en James Bond y poder ganar hasta 1 000 000 £. El controlador es el cerebro detrás del juego, y observa a las parejas contestar las diez preguntas que ha ocultado por el mundo.;https://image.tmdb.org/t/p/original/aYV5iTnj2CNTQXrqe88D0tr3Y4x.jpg;Reality, Acción;7.1;2;16;https://www.themoviedb.org/tv/234455;https://image.tmdb.org/t/p/original/bLo5aeLF6epHU5fUKtHeBVn0DmC.jpg;T1:8|T2:8;Brian Cox (The Controller), Frances McNamee (Sofia);https://image.tmdb.org/t/p/w185/scSjbFCTRngXlkJRoKptM5kQGw7.jpg, ;;Resbalón, Killjoys, Marvel's Hit-Monkey, Treadstone, Professionals;https://www.youtube.com/watch?v=SGqPScEVD58
22.11.63;2016 - 2016;El profesor de secundaria Jake Epping viaja en el tiempo para evitar el asesinato del presidente John F. Kennedy - pero su misión se ve amenazada por Lee Harvey Oswald, el amor, y el pasado en sí, que no quiere ser cambiado y no debería de serlo.;https://image.tmdb.org/t/p/original/1fH41ccMKvgDTbbcCxWWH6fznah.jpg;Drama, Ciencia ficción;7.756;1;8;https://www.themoviedb.org/tv/64464;https://image.tmdb.org/t/p/original/qVBExiGdG8uiPK9BcWD0881u8uh.jpg;T1:8;James Franco (Jake Epping), Sarah Gadon (Sadie Dunhill), Chris Cooper (Al Templeton), Daniel Webber (Lee Harvey Oswald), Lucy Fry (Marina Oswald), George MacKay (Bill Turcotte);https://image.tmdb.org/t/p/w185/bjmAntHGiibLZixH8nTNVBzaFQn.jpg, https://image.tmdb.org/t/p/w185/9ip4v5DR8wSy9qnbClUkgwgeIgP.jpg, https://image.tmdb.org/t/p/w185/j0sQDzaDlnNAdaYhy6HRRAFi22.jpg, https://image.tmdb.org/t/p/w185/ldOZipwbPQP7AXoQTQHXQymwu9q.jpg, https://image.tmdb.org/t/p/w185/lCVsNdEhjmzRij5T2tRkjgktKOW.jpg, https://image.tmdb.org/t/p/w185/wnDAg1CyCbBCklQAZ9I1dj5X6QY.jpg;;Muerte por un rayo, Manhunt: La caza del asesino, Chacal, Obsesión, 56 días;https://www.youtube.com/watch?v=2QIShmtBdto
13 mandamientos;2018 - 2018;En Bélgica, un hosco detective se une a una exoficial de élite para atrapar a un justiciero aficionado a la tortura que encuentra inspiración en los Diez Mandamientos.;https://image.tmdb.org/t/p/original/5jvR6hnctpLpyfUpChIvPIzwW3j.jpg;Misterio, Crimen, Drama;6.7;1;13;https://www.themoviedb.org/tv/75680;https://image.tmdb.org/t/p/original/wapuDMjR2gOZa9FdusmwOej6Gom.jpg;T1:13;Lola Rose Delany (Blue), Bert Haelvoet (Simon Roelandts), Jeroen Perceval (Felix Monnet), Kim Hertogs (Kelly), Karlijn Sileghem (Liesbet Dujardin), Marie Vinck (Vicky Degraeve);, https://image.tmdb.org/t/p/w185/tpEH7MuKG98OaAaM9PhQnAVm7jQ.jpg, https://image.tmdb.org/t/p/w185/5qDLRP3DLFsEBZ6ZOUUSE1zsESX.jpg, https://image.tmdb.org/t/p/w185/c4dtI8FKyfdctKLvAhHgPkR0zEn.jpg, https://image.tmdb.org/t/p/w185/mJK0Ee9osiOz1mBBWe2vPxhwO3L.jpg, https://image.tmdb.org/t/p/w185/4KvxQvdJmca7vas4EQgsYMEMp3I.jpg;Creador: Ed Vanderweyden | Director: Maarten Moerkerke;La purga, Cross, Slasher, Crimen, de Irvine Welsh, La hora del diablo;https://www.youtube.com/watch?v=IFCUz44ovQU
Por trece razones;2017 - 2020;A pesar del desconcierto que supone volver a oír la voz de Hannah, Clay descubrirá que son trece las razones por las cuales ha decidido quitarse la vida, trece caras de cassete y que, por ello, son trece las personas que deben escucharlas. Él es una de ellas.;https://image.tmdb.org/t/p/original/xcaPztQp9Lvlh9eLoOaGdq4JfxL.jpg;Drama, Misterio;7.541;4;49;https://www.themoviedb.org/tv/66788;https://image.tmdb.org/t/p/original/c4CSgKL6QfkJxsWcGYDyTxpbzpW.jpg;T1:13|T2:13|T3:13|T4:10;Dylan Minnette (Clay Jensen), Grace Saif (Ani Achola), Christian Navarro (Tony Padilla), Alisha Boe (Jessica Davis), Brandon Flynn (Justin Foley), Justin Prentice (Bryce Walker);https://image.tmdb.org/t/p/w185/acjK192xObchDXIHv17OjE5FkK0.jpg, https://image.tmdb.org/t/p/w185/5WJ7edNvieLsxwU36hVvXrB8L6J.jpg, https://image.tmdb.org/t/p/w185/rYl9pJbIONDUtJBO1skQULDfUz1.jpg, https://image.tmdb.org/t/p/w185/d97PBeHPYIJ4hshqoe2ahRJ2NIq.jpg, https://image.tmdb.org/t/p/w185/2fir5bwu0nNB4FiQZYY5J9tWZqC.jpg, https://image.tmdb.org/t/p/w185/yPH93Xgg5otKrDMn3Pb1Xbd8Yhm.jpg;Creador: Brian Yorkey;Pequeñas mentirosas, Lazarus de Harlan Coben, The Crowded Room, Alguien está mintiendo, Before;https://www.youtube.com/watch?v=QkT-HIMSrRk
1883;2021 - 2022;Precuela de la serie 'Yellowstone', que sigue la historia de la familia Dutton en un viaje hacia el oeste a través de las Grandes Llanuras, para ir hacia el último bastión de la indómita América, durante el año 1883.;https://image.tmdb.org/t/p/original/waLbm384SQDwLTCn6ttPqQS5kfV.jpg;Drama, Western;8.267;1;10;https://www.themoviedb.org/tv/118357;https://image.tmdb.org/t/p/original/uQUHCqxHsG9blvtCoL7vluMG9Jp.jpg;T1:10;Sam Elliott (Shea Brennan), Tim McGraw (James Dutton), Faith Hill (Margaret Dutton), Isabel May (Elsa Dutton), LaMonica Garrett (Thomas), Marc Rissmann (Josef);https://image.tmdb.org/t/p/w185/zE1fpXlIUo7fcujlVlGvHdDiCv6.jpg, https://image.tmdb.org/t/p/w185/gJdDFQHnsptnjI1bepJ2nxzBPkv.jpg, https://image.tmdb.org/t/p/w185/tt9SRUAxjOkN9RSzc1JEKEQF0HS.jpg, https://image.tmdb.org/t/p/w185/RJ4djIbfvUHXCCgniiAi0ebhED.jpg, https://image.tmdb.org/t/p/w185/yE5TBZ2qC5LAPDduBQAERo7EF3r.jpg, https://image.tmdb.org/t/p/w185/m3QTVb7rpJ7M4iRe53to7c669v5.jpg;Creador: Taylor Sheridan;Paloma solitaria, Texas Rising, Nueva vida en Ransom Canyon, Yellowstone, Infierno sobre ruedas;https://www.youtube.com/watch?v=Y2Q7Kwz4fU0
1899;2022 - 2022;En 1899, cuando unos misteriosos sucesos cambian el rumbo de un barco de inmigrantes en ruta a Nueva York, sus pasajeros se ven arrastrados a un enigma desconcertante.;https://image.tmdb.org/t/p/original/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg;Misterio, Drama;7.47;1;8;https://www.themoviedb.org/tv/90669;https://image.tmdb.org/t/p/original/s1xnjbOIQtwGObPnydTebp74G2c.jpg;T1:8;Emily Beecham (Maura Franklin), Andreas Pietschmann (Eyk Larsen), Aneurin Barnard (Daniel Solace), Isabella Wei (Ling Yi), Maciej Musiał (Olek), Yann Gaël (Jérôme);https://image.tmdb.org/t/p/w185/knR5avTlO4Xnxw7Nc3xxUj3rtjh.jpg, https://image.tmdb.org/t/p/w185/72Srjd11dwvovxe1tyUKU0ml04u.jpg, https://image.tmdb.org/t/p/w185/aiuFLvyaxmuglNi3nfQ3oL9qW97.jpg, https://image.tmdb.org/t/p/w185/rUUpr6qdGm88Kc6zdOJtyVXwMez.jpg, https://image.tmdb.org/t/p/w185/3KmxHoayvqeHcgDaz7lSVLRDYED.jpg, https://image.tmdb.org/t/p/w185/605oiV6iBp2aOa2SdqaoASVvmtz.jpg;Creador: Jantje Friese, Baran bo Odar;Taboo, Perdidos, Revenge, Desde dentro, Vigil: Conspiración nuclear;https://www.youtube.com/watch?v=ulOOON_KYHs
1923;2022 - 2025;Sigue a una nueva generación de la familia Dutton a principios del siglo XX cuando las pandemias, la sequía histórica, el fin de la Prohibición y la Gran Depresión plagan el oeste montañoso y los Dutton que lo llaman hogar.;https://image.tmdb.org/t/p/original/aE7pMhO58iCn9CdU1VYcyTfKr1o.jpg;Drama, Western;8.236;2;15;https://www.themoviedb.org/tv/157744;https://image.tmdb.org/t/p/original/vIioWssbxRtEkIzgj8r0pCWYkYM.jpg;T1:8|T2:7;Helen Mirren (Cara Dutton), Harrison Ford (Jacob Dutton), Brandon Sklenar (Spencer Dutton), Julia Schlaepfer (Alexandra 'Alex' of Sussex), Jerome Flynn (Banner Creighton), Darren Mann (Jack Dutton);https://image.tmdb.org/t/p/w185/1reKRrsdsHXJaRVHVyOEg4oPTcZ.jpg, https://image.tmdb.org/t/p/w185/pjBMJVPpcZK23Vt1nzr1zEBTWrP.jpg, https://image.tmdb.org/t/p/w185/juLH1EhkY1Xx9Zai2H4icvfn4pD.jpg, https://image.tmdb.org/t/p/w185/5Vl088wkXT6y71X3TRkedA7I69i.jpg, https://image.tmdb.org/t/p/w185/9bAjY1TW7f4yENBsWnj5MWVVWdk.jpg, https://image.tmdb.org/t/p/w185/jy660w9HAkjcvDQn274N80RUW2Q.jpg;Creador: Taylor Sheridan;Yellowstone, Paloma solitaria, Érase una vez el Oeste, Deadwood, 1883;https://www.youtube.com/watch?v=v88e9Dwnqo0
1994;2019 - 2019;"1994 es un año crucial para Italia, es el año de la restauración del país. Lo viven, en sus propias carnes, los tres personajes principales ya presentados en ""1992"" y ""1993"", Leonardo Notte, Pietro Bosco y Veronica Castello, cada uno a su manera. Última parte de la trilogía ideada por el actor Stefano Accorsi.";https://image.tmdb.org/t/p/original/4TTdhOO0SIU1YJ2uzVlye1gxkyi.jpg;Drama;7.1;1;8;https://www.themoviedb.org/tv/102229;https://image.tmdb.org/t/p/original/a2Q2og2N3H8qr5UVuvANZqrRa0M.jpg;T1:8;Stefano Accorsi (Leonardo Notte), Guido Caprino (Pietro Bosco), Miriam Leone (Veronica Castello), Antonio Gerardi (Antonio Di Pietro), Paolo Pierobon (Silvio Berlusconi), Giovanni Ludeno (Dario Scaglia);https://image.tmdb.org/t/p/w185/v0juBdStV3KECZL1nEL7AkbWQ0j.jpg, https://image.tmdb.org/t/p/w185/oPMS4ZfZpAzQkGVCbuEj19Jb1d4.jpg, https://image.tmdb.org/t/p/w185/kOl4gte94tJKXl8csCEYIxhZV0B.jpg, https://image.tmdb.org/t/p/w185/7OI80SQpWPOsfZQR43l6HyU2tn4.jpg, https://image.tmdb.org/t/p/w185/uWizDMxorbCn5RoyRepn85Qt5Ll.jpg, https://image.tmdb.org/t/p/w185/1OsdLgywScdMjrLm8cUGnEBIKsa.jpg;;1992, RIPLEY, M. El hijo del siglo, Bad Blood, Suburra: Blood on Rome;
Dos chicas sin blanca (2 Broke Girls);2011 - 2017;"Ambientada en el barrio de Williamsbourg, del distrito de Brooklyn, en Nueva York, la serie relata la vida de dos camareras veinteañeras que trabajan juntas en un restaurante, para lograr cumplir su sueño de abrir un negocio de cupcakes. Max Black (Kat Dennings), proveniente de una familia pobre de la clase trabajadora, que además tiene un trabajo adicional como niñera para una mimada y detestable socialité de Manhattan; y Caroline Channing (Beth Behrs), quien nació rica pero que ahora es pobre, debido a que su padre fue atrapado operando en una enorme estafa. Las dos se convierten en amigas y construyen un sueño juntas, el de abrir una tienda de magdalenas (para eso necesitan alcanzar 250.000 dólares), aunque casi no pueden costear nada con el pago que reciben en su trabajo. Junto con ellas trabajan también en el restaurante su jefe, Han Lee (Matthew Moy); Oleg (Jonathan Kite), un alegre cocinero ucraniano; y Earl (Garrett Morris), el cajero. Al comienzo de cada episodio, se muestra a Max sirviendo una mesa, y al final de cada episodio, un registro muestra lo que llevan para alcanzar los 250.000 dólares.";https://image.tmdb.org/t/p/original/wW1SDEoZ6pDfnSkVQuXwOo8ICep.jpg;Comedia;7.206;6;137;https://www.themoviedb.org/tv/39340;https://image.tmdb.org/t/p/original/u04AvxFIDgL9JSd9xoVNK3BoBEd.jpg;T1:24|T2:24|T3:24|T4:22|T5:22|T6:21;Kat Dennings (Max Black), Beth Behrs (Caroline Channing), Garrett Morris (Earl Washington), Jonathan Kite (Oleg Golishevsky), Matthew Moy (Han Lee), Jennifer Coolidge (Sophie Kachinsky);https://image.tmdb.org/t/p/w185/nJHGtedRCIeAdysg18oJngUZmL3.jpg, https://image.tmdb.org/t/p/w185/ruiarln4ZdBXgtE5ACgiByrYv7N.jpg, https://image.tmdb.org/t/p/w185/lF69l3dDWHhxoscaJPRDubPglYd.jpg, https://image.tmdb.org/t/p/w185/65ywCkTifntIjB7AMv74Lhrj3y.jpg, https://image.tmdb.org/t/p/w185/6GAXp3eLPgPqPD0sp0tzwe3jm6Q.jpg, https://image.tmdb.org/t/p/w185/hcpbV0dY4ZJxmZi1WcAWe8euqV2.jpg;Creador: Whitney Cummings, Michael Patrick King;Will y Grace, The Mindy Project, Seinfeld, Los Jeffersons, The Honeymooners;https://www.youtube.com/watch?v=aUkwxpMVW9M
